Q31	Бельгия
Q319751	Эмерсон, Кит Ноэль
Q319896	Владимир Евгеньевич Жаботинский
Q321116	Дон Байрон
Q321197	Цешин
Q321259	Video CD
Q321423	Закон и порядок
Q323431	Ситроен, Пауль
Q325004	Александр Николаевич Афанасьев
Q325032	Борис Владимирович Асафьев
Q326658	Куб
Q326731	Тюдоры
Q326914	Приключения Тома Сойера
Q327099	Битва за перевал Кассерин
Q328480	Берлинская полиция
Q328691	Ярив, Амнон
Q329342	Гомеровы гимны
Q330046	Марти Эрлих
Q330086	Intel 8051
Q330960	Ройлос, Георгиос
Q331050	Дхануш
Q331067	Иоффе, Абрам Фёдорович
Q331556	Босасо
Q332050	Эвакуатор (транспортное средство)
Q332711	президент Италии
Q333411	Илья Григорьевич Чавчавадзе
Q333438	Луи Никола Воклен
Q333525	Майкл Портилло
Q333866	Угьен Вангчук
Q333963	Уайтлоу, Уильям
Q334040	Toyota Celica
Q334496	Газан-хан
Q334882	Абу Бакр ибн Умар
Q335981	Абердин, Джон Кэмпбелл Гамильтон-Гордон
Q336027	Лугард, Фредерик
Q336520	Шугар, Алан
Q336794	Сваммердам, Ян
Q336990	Абу Инан Фарис
Q337065	Футбольная ассоциация Чехии
Q337179	Памятник Свободы
Q337641	Фермилаб
Q338199	Верхний мел
Q339058	Ancora
Q339249	Дилижанс
Q339906	Happy hardcore
Q341639	Энрико
Q344334	Стамбульский технический университет
Q344792	Acura RDX
Q345194	Белорусский латинский алфавит
Q345994	Джордж Слёйзер
Q346102	Доминик Беснеар
Q346483	Каллен, Морис
Q346762	Фредди Хаббард
Q347932	Ред Митчелл
Q349487	Парки Канады
Q349673	Норидж
Q350613	Полиньяк, Жюль Огюст Арман Мари
Q350895	заброшенная деревня
Q352459	Джозеф Генри Блэкберн
Q353451	Михаил Леонидович Громов
Q353887	Антуан Арно
Q355382	Юр, Мидж
Q355835	Матьё Амальрик
Q356439	Алонсо, Микель
Q358926	Джузеппе Барези
Q359689	Мофаз, Шауль
Q360071	Adobe Captivate
Q360310	Adobe Integrated Runtime
Q360424	Adobe Premiere Pro
Q362249	Чу, Джимми
Q363846	Борис Ефимович Немцов
Q365078	Фарсари, Адольфо
Q365199	Янг, Виктор
Q366302	Жак, Кристиан
Q366355	Ван Клиберн
Q366791	любопытство
Q367225	Гороховый суп
Q367415	Вильгельм I Злой
Q367849	кремний-германий
Q368215	App Store
Q369399	Голби, Питер
Q369668	Ослер, Уильям
Q369762	Жан-Шарль де Борда
Q370241	Хилл, Роуленд
Q370726	Тракс, Дерек
Q371652	Экдаль, Альбин
Q373133	Politiken
Q374324	Янаккала
Q375063	Адриана Лекуврёр
Q377093	Леркаро, Джакомо
Q377789	Дилип Кумар
Q378614	Бернарден Гантен
Q378640	Pentium Dual-Core
Q379271	Интерфакс
Q380045	Ален Башунг
Q380297	Дюверже, Морис
Q381082	Вальдемар III
Q381129	Ассоциация футбольных федераций Азербайджана
Q382160	Макелинни, Кёртис
Q382193	Таккинарди, Алессио
Q383108	Афганская национальная армия
Q383295	Центр обновления Windows
Q383663	Wind & Wuthering
Q384404	Самоубийство
Q384656	Amiga 500
Q386392	Уорд, Эдвард
Q387422	Иерусалимский Талмуд
Q388031	Антонио Гава
Q390028	Индепенденс-холл
Q390598	Федерация футбола Албании
Q392110	IONIS
Q392599	Эверетт
Q395299	мышца-агонист
Q395648	Агостино Ди Бартоломеи
Q396338	агроэкология
Q402145	Матарам
Q403671	Портела
Q407373	арабиноза
Q407479	оксидоредуктазы
Q407709	Оксид меди(I)
Q407891	гидросульфит натрия
Q408920	сульфид калия
Q409608	арахиновая кислота
Q409999	Фратаксин
Q410185	цианид натрия
Q410234	пиперидин
Q410592	Кераргирит
Q410974	Основной белок миелина
Q411162	надпероксид калия
Q412356	карбид кремния
Q414529	Кадинен
Q414657	дитиодихлорид
Q417040	станнан
Q418889	гидрофосфат аммония
Q420470	Регулятор трансмембранной проводимости при муковисцидозе
Q421028	силицид магния
Q422404	правительство Канады
Q422847	гидрид кальция
Q423488	исполнительное устройство
Q423774	Урва ибн аз-Зубайр
Q424236	Тритиевая вода
Q424401	Рецептор эпидермального фактора роста
Q425383	Костный морфогенетический белок
Q425397	метасиликат натрия
Q426015	Wizzard
Q426127	…But Seriously
Q426398	Нишоба
Q427761	Пен, Камиль
Q428094	Зигфрид Шведский
Q428314	Жак Моклер
Q429560	Томсон, Прийт Эвальдович
Q430682	Тейт
Q431146	Кристин Буассон
Q431195	DB2
Q431603	инициативная группа
Q431656	Хэйзел Скотт
Q432743	Россдэйл, Гэвин
Q433529	Атлетико (футбольный клуб, Рим)
Q435699	Генри Томас Бокль
Q435732	Беата Тышкевич
Q435857	Уэллс, Мэри
Q437983	Кальмет, Альбер
Q442240	Шарль Дюканж
Q442516	Герман Осерский
Q442860	Осборн, Айсая
Q443085	Мадлен Робинсон
Q443554	Пинто, Эварист
Q448715	Нидерландский кинофестиваль
Q448930	Kurupt
Q449590	Чон Джин Сок, Николай
Q450114	Гро, Анри де
Q450181	Феш, Жозеф
Q450803	Фёрстер, Йозеф Богуслав
Q450821	Рейнхарт, Таня
Q451305	Меллони, Мачедонио
Q451444	Мердок, Уильям
Q452374	Ah My Buddha
Q453383	Моро, Кристоф
Q453538	Христов-Бакарджиев, Каролин
Q453698	Аманд
Q453931	Ито Баррада
Q454331	Амандус Генрих Адамсон
Q454674	Амар, Акбар, Антони
Q455484	Orano
Q456157	Amazon Web Services
Q456405	Джонстон, Джен
Q457376	ЦСКА
Q460163	Нибелунги
Q460201	Эльза Зильберштейн
Q460319	Девушка с Запада
Q460358	Абекассис, Яэль
Q461793	Каир
Q462219	Патриция Барбер
Q463014	Полер
Q464009	Рыцарь дорог
Q464474	Пла, Хосефина
Q464728	Мемфис Минни
Q464946	Мэннинг, Генри Эдуард
Q465877	Элис Режина
Q465910	Телефонная будка
Q466066	BMW 3
Q466797	асана
Q467732	Муса Хираманович Манаров
Q468206	Фирмин Амьенский
Q468267	Андрей Донатович Синявский
Q468402	кафель
Q469093	Фланн О’Брайен
Q469801	Тихон
Q469862	Обнажённое солнце
Q469942	Диас, Иван
Q470140	Джеймс Янг Симпсон
Q470617	Сандерс, Фэроу
Q470795	Ал-Битруджи
Q471891	De Beers
Q472196	Джон Патрик Фоли
Q473539	Джузеппе Сири
Q474181	Швейцарский футбольный союз
Q475689	Парламент Канады
Q476825	Ален Жессюа
Q477089	Парламент Греции
Q477951	Глэскок
Q478601	Уилсон, Тони
Q482572	Honda Legend
Q483501	деятель искусств
Q483738	Анадолу Эфес (баскетбольный клуб)
Q483745	лейцин
Q483982	Ларами
Q484300	Бэйтс
Q484342	Першинг
Q486479	Рочестер
Q486748	пианист
Q487439	Уральск
Q487865	Дервиш
Q488201	Бэнкс
Q488384	Хаттфьелльдал
Q488761	Daewoo Damas
Q488978	Windows NT 4.0
Q489048	Silverlight
Q489369	Хокон
Q489929	Авола
Q490434	Вентура
Q490924	Мисилмери
Q491954	Андроскоггин
Q493840	Лоуренс
Q494125	Шавиль
Q494292	Джованни Бассано
Q494817	Google Scholar
Q495307	Посадка на Луну
Q495464	Ред Николс
Q495974	Пассейик
Q497226	Chevrolet Aveo
Q497403	Барни Бигард
Q497656	Джеймс Айвори
Q497880	Хэмптон
Q498465	Мариб
Q499071	East Japan Railway Company
Q500606	Южно-Флоридский университет
Q501058	Выбор народа
Q501074	Маренго
Q501083	Гибралтар
Q501778	Переводоведение
Q502018	Датский футбольный союз
Q503375	Тоттенхэм
Q504143	Renault 5
Q504669	AFS
Q505563	Эмануэль Акс
Q506220	Питт
Q506250	Стокгольм
Q506398	Клермонт
Q507763	Хорсфилд, Томас Уолкер
Q510511	Ландтаг Гессена
Q511533	La Vanguardia
Q512073	Киштарча
Q512593	Тутуш I
Q513142	Истлейк, Элизабет
Q513300	Собор Святого Петра
Q513361	Анджела Риппон
Q513684	Мехрабад
Q513712	Pony Canyon
Q515426	Сенат Техаса
Q515741	Франсиско Серрано
Q515938	Алекс Тейшейра
Q516804	Всемирный конгресс хакеров
Q521051	Mousse T.
Q521209	Щекочихин, Юрий Петрович
Q521683	Bobina
Q521740	Анна Николаевна Есипова
Q522541	Бад-Швальбах
Q524114	Пратт, Гай
Q524266	Джек Бьютел
Q525984	Хауге, Ханс Нильсен
Q526424	Канаро, Франсиско
Q527068	Напье, Уилфрид Фокс
Q528145	Лайнбекер
Q528184	Международный аэропорт Турин
Q528856	Люсия Струс
Q529531	Berliner Maschinenbau
Q531898	Поль Виллар
Q532364	Фа Нгум
Q532567	Olympia Press
Q535213	Эванс, Джон Дэвис
Q536566	Эйткен, Лорел
Q538284	Отис Уильямс
Q539149	Конгресс депутатов
Q541218	Террасас Сандоваль, Хулио
Q542084	Музей Передней Азии
Q542725	Моя прекрасная толстушка
Q545981	Редактирование изображений
Q545985	рыбный соус
Q547687	Пимен
Q547761	Сальвадорская федерация футбола
Q548161	Симон Бокканегра
Q548928	Стёрт, Чарльз
Q549873	Бобби Белл
Q550490	солянка
Q550701	Луи Моро Готшалк
Q552876	Жак Франц
Q553715	Бодзентын
Q553718	Шмелёв, Иван Сергеевич
Q555339	Дорива
Q556140	Ходдер, Ян
Q557119	Граф Цеппелин II
Q557363	German Masters 2011
Q559436	Мор, Георг
Q559440	Веркман, Хендрик Николаас
Q559588	Личитра, Сальваторе
Q560646	Корбиниан Фрайзингский
Q562396	Город будущего
Q563329	Pentacon
Q566789	Гаттон I
Q567062	Молчание моря
Q568458	Президентские выборы на Украине
Q568943	Тюби, Жан-Батист
Q569970	Энсон Фундербург
Q570224	Оттавский договор
Q570960	De Spelbrekers
Q573498	Дунайская излучина
Q573509	расстояние городских кварталов
Q573852	Улу-бурунский корабль
Q576501	Гарфилд и его друзья
Q577397	Lexus ES
Q578219	Уилер, Кенни
Q578898	Chevrolet Citation
Q579677	президент Украины
Q580813	Volvo 480
Q582159	Siri
Q582861	Мариниды
Q584601	baskin robbins
Q585052	Койтер, Волхер
Q585444	административное деление Праги
Q585821	Жизнь как чудо
Q588882	Фульдера
Q590866	Тегеран
Q593733	Национальная иранская нефтяная компания
Q593781	Flicky
Q594120	Chevrolet Monte Carlo
Q594320	Грановеттер, Марк
Q595364	решётка
Q596594	Фигурные стихи
Q598995	Мэддин, Гай
Q602637	Go Away White
Q603838	Правительство Афганистана
Q606287	Коломбо
Q608803	Липери
Q609508	Viennale
Q611919	Шаннон
Q613319	Майк Пьяцца
Q613930	семантическая роль
Q614304	фармация
Q614521	Alfa Romeo Montreal
Q617558	Honda Concerto
Q618057	Святое семейство
Q618779	награда
Q619468	Кономбо, Жозеф
Q619845	Берн
Q620118	Лукини, Фабрис
Q620280	Ирландская футбольная ассоциация
Q620634	Бир-Тавиль
Q620877	Уолтер, Хьюберт
Q621530	SPDY
Q621709	премьер-министр Пруссии
Q622460	аллотропия углерода
Q622988	Wings
Q623170	Аквариумный фильтр
Q623222	Сэм и Кэт
Q623452	Аэропорт Хуари Бумедьен
Q624580	эйлеров цикл
Q624955	Флиден
Q626101	Дни и ночи в лесу
Q629718	Бруност
Q631018	Дин, Элтон
Q633103	Лу Марини
Q633819	Арв
Q635484	Giorgio Armani
Q636680	Харт, Уильям
Q638187	Лафайетт
Q639611	Святоша
Q639669	музыкант
Q640053	Ylvis
Q641159	правящий бургомистр Берлина
Q641691	Союз коммунистов Югославии
Q643284	Чикаго
Q644344	Browning M1903
Q646290	Чендравасих
Q647711	Вальмерод
Q648182	Церковь Святого Иакова
Q648716	Национальное собрание Венгрии
Q650875	Христианство в Ираке
Q651231	Boyz II Men
Q654110	Фукасаку, Кэнта
Q654236	съедобный гриб
Q654278	Давид I ап Оуайн
Q656993	Пальма-де-Майорка
Q658832	Тургай
Q660566	Ildjarn
Q661660	Средиземное море
Q661881	Шпайхерштадт
Q663802	Даниэль Секкальди
Q663837	Даньян-Буве, Паскаль
Q664748	Этьенн, Анри II
Q666831	Флин-Флон
Q666935	Хофкирхе
Q668947	Романовский, Пётр Арсеньевич
Q670792	Berenberg Bank
Q671183	Mudvayne
Q671288	Бенд
Q673203	Крайняя плоть
Q675176	Галинстан
Q675878	Фабиан Фрай
Q679865	Дэвид Уитфилд
Q679906	ISPF
Q683341	Битва при Бикокке
Q683512	Савонлинна
Q686050	Трокслер, Игнац Пауль Виталис
Q688568	Раймунд-театр
Q688596	Хоторн
Q688626	Лерикский район
Q692110	вице-канцлер Австрии
Q692704	Берлинер АК 07
Q694372	Корнейбург
Q695500	Маурицио Мерли
Q695830	Венский акционизм
Q696028	Жозеф Доль
Q696440	Мендес да Силва, Давид
Q696576	Цирер, Карл Михаэль
Q696772	Хитатинака
Q697722	Битва при Прессбурге
Q700102	Гогенлоэ-Лангенбург
Q700483	Элементарные частицы
Q700807	Френцель, Эрик
Q702071	Princess Sarah
Q702891	Фрегаты типа «Нокс»
Q703802	Динардо, Даниэль Николас
Q704155	Рахмани, Арсала
Q704700	Хартфорд, Джон
Q706445	Дельбланк, Свен
Q706480	Microsoft OneNote
Q707711	Тило Вольфф
Q707804	Торри, Джо
Q708246	Эрни Уоттс
Q708543	Экснер, Юлиус
Q710613	Дуарте Коста, Карлош
Q710679	Корейская традиционная медицина
Q711059	Кенни Гарретт
Q711073	Аштон, Фредерик
Q711237	Рао, Кальямпуди Радхакришна
Q712307	Джозеф Витуорт
Q712634	Синъюнь
Q712704	Роберт Дэвид Холл
Q713765	Рубин Голдмарк
Q713807	Йоргенсен, Эл
Q713949	Роберто Герхард
Q714335	BenQ
Q715214	Святой Люцифер
Q715225	Маттео I Висконти
Q715228	Лимбди
Q716911	Чжан Айпин
Q716958	Святой Вальтеоф
Q719974	Nissan Sentra
Q721408	Льянкиуэ
Q722983	Фердинанд Альфонс Гамелен
Q723294	Могг, Фил
Q723587	Третья династия Ура
Q723679	Звёздный путь: Поколения
Q724147	Кондогбья, Жоффрей
Q725704	Оллер, Жозеф
Q726211	Джим Планкетт
Q726925	Хуан Хосе Кампанелья
Q727025	Чаморро Варгас, Эмилиано
Q727156	Клоун Красти
Q727174	Мэйл, Рон
Q727257	Морис Клавель
Q729659	Вильгельм Телль
Q729679	Фрэнсис Альфонс Борн
Q729743	Жорж Амбуаз
Q730160	Audi RS 2
Q730310	Натаниэл Валлих
Q730841	Ходжес, Уильям
Q731338	Флаг Тибета
Q731938	AstraZeneca
Q732159	Аскола
Q732372	The Eternal Idol
Q733295	Дюпен, Жак
Q733952	Абуна Павел
Q734278	Коу, Джонатан
Q734951	The Final Frontier
Q735182	Энглер, Джон Мэтиас
Q735575	премьер-министр Пакистана
Q735697	Селден, Джон
Q737558	Кодати
Q737711	Тибести
Q738009	Персональное оружие самообороны
Q739122	Создавая женщину
Q740392	Сараево
Q740460	сосуд под давлением
Q740643	Хамер, Бент
Q741243	Беркнер
Q741430	Герман Вильгельм Биссен
Q743247	Инвернес
Q743441	Хризостом I
Q743625	Уилли Москони
Q743918	Леруа, Гендрик
Q745850	Sticky Fingers
Q745960	Thriller 25
Q746118	Жан-Пьер Андревон
Q748851	Тайна в его глазах
Q749605	Зимние Паралимпийские игры 2006
Q751802	Открытый чемпионат Австралии по теннису 2007
Q755566	Солсбери
Q756126	Ближневосточный технический университет
Q756265	президент Монголии
Q756890	Институт изучения Каталонии
Q757178	HMS Belfast
Q758769	Audi Q5
Q762219	Нанси
Q764438	Нилус, Сергей Александрович
Q764793	Битва при Форново
Q765914	Эрбек
Q766445	Окинава
Q769377	Операция «Буря»
Q770668	Крис Хиллман
Q772923	Обитель Анубиса
Q773049	Жан Папино-Кутюр
Q774781	Конча, Себастьяно
Q774937	Каэ Араки
Q780998	BMW E65/E66
Q781890	Футбольная федерация Австралии
Q782245	Открытый чемпионат Австралии по теннису 2001
Q787034	Стена
Q787216	BBC News
Q788800	Ян Бауман
Q790433	хала
Q795396	Окленд
Q796189	Киев
Q796427	BMW 6
Q796458	BMW X5 (E53)
Q796598	BMW M5
Q796780	BMW X3
Q796894	покупательская тележка
Q797915	Вавила Антиохийский
Q800558	Шоссе Мак-Мёрдо — Южный полюс
Q805597	Бальтазар Беккер
Q806074	Банахао
Q808266	бармен
Q808561	Барокко в живописи
Q808804	Подводные лодки типа «Барракуда»
Q809732	Роже Витрак
Q812795	Be-Bop-A-Lula
Q813446	Прекрасный боксёр
Q818504	Benzino
Q819150	Krauss-Maffei
Q821172	РИА Новости
Q822678	Роджерс, Бернард
Q823036	Сальвиати, Бернардо
Q824408	Минский завод колёсных тягачей
Q825946	Good Morning America
Q826782	Стаффорд
Q828043	буйабес
Q830922	Колумбийская федерация футбола
Q831354	Smooth jazz
Q831437	Онг Бак: Тайский воин
Q831474	пресвитер
Q833147	Видовдан
Q834947	Борис Рыбаков
Q836984	Orica
Q838380	президент Ирана
Q838833	Lexus IS
Q839802	Фултон
Q840654	Летние Паралимпийские игры 2004
Q843036	Gripin
Q843251	Большая Западная железная дорога
Q843813	до
Q844051	The Who Sell Out
Q846222	Viva la Bam
Q846859	Берия-колледж
Q849489	Монастырь Хора
Q849784	Мемориальный колизей Лос-Анджелеса
Q850314	Синьор Брускино
Q853628	Пирккала
Q856663	библейский сюжет
Q856788	Прейвэнг
Q858368	Windows NT 3.51
Q858387	Эксперименты Лэйн
Q859557	Либеральное христианство
Q859608	Кеминмаа
Q862403	Рэнфорд, Билл
Q863432	Biman Bangladesh Airlines
Q864914	Второй сезон мультсериала «Губка Боб Квадратные Штаны»
Q864952	гало из тёмной материи
Q868839	Негруцци, Константин
Q869327	Костариканская федерация футбола
Q869869	хром-молибдий
Q873750	карманничество
Q876032	Дэва
Q876357	Манчестерская бойня
Q877247	Джорджтаун
Q878580	Золотой жук
Q878942	губернатор Виргинии
Q887907	Рейес Прието, Рафаэль
Q888208	Боб Рэй
Q890005	президент Эстонской Республики
Q891878	Взрывы в пабах Бирмингема
Q891882	Теракт в Стокгольме (2010)
Q896462	Брабант
Q898461	Рок-н-рольщик
Q898769	Гомеобокс
Q901579	Премия Ирвинга Ленгмюра
Q909554	вычислительная физика
Q910886	Палата представителей Оклахомы
Q911907	Двугранный угол
Q912770	Ситизенс Банк Парк
Q913958	Мышца, поднимающая угол рта
Q914157	Теорема
Q914752	Лорд-наместник
Q917295	Элвин и бурундуки
Q917311	Сенат Миннесоты
Q917374	Вооружённые силы Норвегии
Q918390	BSkyB
Q918649	Five Leaves Left
Q918702	Мазомбве, Медардо Джозеф
Q919789	Джованни Батиста Витали
Q919907	Дон Ларсен
Q920940	Доса
Q921559	Тунисская федерация футбола
Q922336	Раути, Пино
Q923353	Стампа
Q924365	Roger the Engineer
Q926616	Паскуалис, Мартинес де
Q927146	Флореску, Георге Михай
Q928317	Морлаб 2020
Q930096	Обсерватория Сайдинг-Спринг
Q930702	Ванкувер
Q931492	СНВ-I
Q932648	Дидимотихон
Q933062	Парамахамса Харихарананда
Q934012	Piper Aircraft
Q934829	Nissan Serena
Q935881	Карсский договор
Q936476	Центральный университет Венесуэлы
Q937937	Ираклий Мамиевич Аласания
Q939229	Масаи, Мозес
Q939253	Норма матрицы
Q939771	Кухмо
Q941151	Мануцио, Паоло
Q942852	Я видел Солнце
Q943299	Ferrari FF
Q944379	Kataklysm
Q945042	Левант, Оскар
Q945890	Пьер Брассёр
Q946028	Курантовский институт математических наук
Q947245	Ингульф
Q948223	Чёрный монах
Q949728	Microsoft XNA
Q950354	Джиттербаг
Q951395	Роббинс, Герберт
Q953070	Паркано
Q954927	Грузовой поезд
Q954930	Олд, Александр
Q957563	Пухоль, Эмилио
Q959915	Ринне, Пекка
Q960061	RTV Slovenija
Q961590	Меррилл, Робби
Q963120	Google Code
Q963142	Табб, Эрнест
Q964256	Ле Флем, Поль
Q966026	Томазо Антонио Витали
Q966694	Струдаль, Марк
Q967230	Теренс Бланчард
Q970521	Коикэ, Эйко
Q971727	Маор, Эли
Q973580	Мёбиус, Дитер
Q974540	Уильям Ховелл
Q976184	My Iron Lung
Q979507	список индуистских божеств
Q981256	Астрюк, Александр
Q981837	Сильвано Буссотти
Q982769	Шараф Рашидович Рашидов
Q983700	Клейн, Лев Самуилович
Q984399	Уилберфорс, Сэмюэл
Q984448	Пикетти, Тома
Q985459	Оулайнен
Q986320	Сипоо
Q986608	Qzone
Q988343	кровеносные сосуды
Q989016	Распределённые базы данных
Q989930	Часуйма
Q990618	Бруквудское кладбище
Q993521	Марсель Мулуджи
Q1001927	Састамала
Q1006398	федеральный канцлер Австрии
Q1010034	Карвиа
Q1017715	Мадинат-эс-Садр
Q1018775	Византийский музей
Q1023749	CIR Group
Q1025714	Кангасниеми
Q1026448	Калдердейл
Q1031880	Де Ваал, Томас
Q1031911	Can You Feel the Love Tonight
Q1033163	Премия Европейской киноакадемии 2010
Q1042095	Энацу, Ютака
Q1044246	Фурикакэ
Q1046164	Министерство сельского хозяйства и продовольствия Канады
Q1046717	Paint It Black
Q1047060	Западный резервный университет Кейза
Q1047171	Бальма
Q1050584	Renault Fluence
Q1053723	Центральный Бедфордшир
Q1053917	Руселаре
Q1054124	Centralwings
Q1054799	президент Польши
Q1057953	севиче
Q1058218	Под небом Парижа
Q1059843	нефтепродукты
Q1059902	Пантократор
Q1062113	NetBurst
Q1063392	Сент-Бёв, Шарль Огюстен де
Q1063401	Ромм, Шарль-Жильбер
Q1065966	Теоремы об изоморфизме
Q1066018	Toei
Q1066260	Томатный суп
Q1067247	Дымовая шашка
Q1067615	Windows Driver Frameworks
Q1068734	HAL Laboratory
Q1071321	Chevrolet TrailBlazer
Q1072385	Нихром
Q1072459	Пилиш
Q1077095	Чини, Крис
Q1078773	Photo Booth
Q1090034	Манхэттенхендж
Q1090918	Windows Phone Store
Q1092673	Чомпи
Q1093191	Хайнс, Джером
Q1094424	Стюарт
Q1100276	Док, Клемент Мартин
Q1102230	уха
Q1108576	Урва ибн Масуд
Q1110973	Кунунарра
Q1111648	колорист
Q1114448	автор комиксов
Q1121436	Канада
Q1123245	геологический ярус
Q1124849	Verve Records
Q1127188	Экономика развития
Q1128086	Макридис, Константинос
Q1128397	женский монастырь
Q1129617	Dig Out Your Soul
Q1130457	Всероссийский государственный институт кинематографии имени С. А. Герасимова
Q1130811	Renault Avantime
Q1132226	Fiat Bravo
Q1132413	Солджер Филд
Q1132451	Nissan Sunny
Q1132584	Renault Modus
Q1132608	Fiat Croma
Q1133784	Нельсон Круз
Q1134547	Земля Элсуорта
Q1135638	Nissan X-Trail
Q1136048	Козимо Бартоли
Q1136226	Объединённая авиастроительная корпорация
Q1136614	Палаццо Барберини
Q1137004	Компьютерный терроризм
Q1137784	Мой кровавый Валентин
Q1138982	Христианские демократы
Q1139204	Национальный совет Словакии
Q1141335	Чемпионат мира по лёгкой атлетике в помещении 2006
Q1141759	Nissan Almera
Q1141915	Театр Крусибл
Q1142391	Кристал Пэлас
Q1145118	Onegai Twins
Q1145561	Кертис Фоулкс
Q1145602	Как преуспеть в Америке
Q1145764	Направляющий свет
Q1146861	Сай Коулмэн
Q1147544	Мирза Башируддин Махмуд Ахмад
Q1147633	шрифт
Q1152460	Wii Balance Board
Q1156634	рожок
Q1156921	Дикари
Q1160343	Калгари
Q1160682	Федерация футбола Мексики
Q1165443	Nissan Cube
Q1169861	Девушка со спичечной фабрики
Q1170076	Harper’s Magazine
Q1174244	Дон, Дэвид
Q1177587	Дьякону, Мирча
Q1186355	Народно-демократическая партия Афганистана
Q1191058	Ne partez pas sans moi
Q1191107	Дютроше, Рене
Q1192715	Мола, Пьер Франческо
Q1192736	Honda Super Cub
Q1192838	Министерство внутренних дел Российской Федерации
Q1193832	Знак (математика)
Q1195980	Имена людей
Q1196321	Наката, Ясутака
Q1197010	Toyota Allion
Q1197272	пламегаситель
Q1198774	Смена личности
Q1200985	Destiny Fulfilled
Q1203417	Eagle
Q1205051	Идеальная грусть
Q1209367	Windows 2.1x
Q1217937	Благие намерения
Q1233156	Тускуланские беседы
Q1233795	Воспоминания Адриана
Q1234248	Жюль де Гонкур
Q1238234	Доминик Жозеф Гара
Q1239326	Monolith Soft
Q1240096	Княжество Хайдарабад
Q1241339	UD Trucks
Q1245530	Фурм-д’Амбер
Q1247342	Университет Миколаса Ромериса
Q1247500	Юфть
Q1247890	Палатинская антология
Q1248238	227 (телесериал)
Q1249148	Ричард / Рихард / Ришар
Q1249801	Пакпаттан
Q1250993	Отунга, Морис Майкл
Q1253738	Похьонен, Киммо
Q1255269	Мечеть Укба
Q1258576	Темпьетто
Q1280214	Сидни Ньюман
Q1280223	Шарлоттенборг
Q1282645	Пеллетье, Вильфрид
Q1282743	Кондон, Эдди
Q1285499	Правительство Сербии
Q1288248	Котман, Джон Селл
Q1292053	Эдуард Джозеф Дент
Q1294765	монарх Норвегии
Q1296464	Google Health
Q1298330	Ленц, Жорж
Q1303048	Mis-Teeq
Q1315213	Дейвис
Q1322289	Университет Лилля — Северной Франции
Q1323122	Западный Токио
Q1326659	VHD
Q1331169	Where Did Our Love Go
Q1331431	Timber Timbre
Q1332402	Сориано, Фернандо
Q1332546	Windows Write
Q1336512	Судо, Гэнки
Q1337810	Павел Тимофеевич Горгулов
Q1338273	Свенд Асмуссен
Q1338286	Окар, Эмманюэль
Q1343889	Mac OS 8
Q1345371	Матьё де Монморанси-Лаваль
Q1345909	Остров Скотта
Q1347095	Скэггс, Рики
Q1347504	Тацуно
Q1351019	Типпетт, Кит
Q1353252	Мишель Порталь
Q1354283	Фюр, Грант
Q1356978	Франческо Фурини
Q1357746	Олу Дара
Q1361073	Мёрдок, Джордж Питер
Q1361304	Юозапайтис, Витаутас
Q1362259	Пабло, Мишель
Q1362405	Джелато
Q1366623	Том Аткинс
Q1368003	Тейлинген
Q1369995	Игры Юго-Восточной Азии 1991
Q1370107	Игры Юго-Восточной Азии 1985
Q1371704	этрускология
Q1371798	Ларри Гэтлин
Q1371996	Трекинговые палки
Q1372236	Бедреддин Махмуд Симави
Q1375341	Менно тер Браак
Q1375532	Тииф, Отто
Q1382316	Сэмюэл Купер
Q1382617	Лефортово
Q1382787	Макс Уилсон
Q1384903	Морли, Фрэнк
Q1384975	Пьер Бошан
Q1389351	Родан, Менди
Q1389604	унитарное предприятие
Q1392121	Рамус, Грасильяну
Q1392586	Бурханеддин Гази Ахмед
Q1393093	Доминис, Марк Антоний де
Q1393122	Metroliner
Q1394721	Ремю
Q1397864	Пит Блом
Q1398872	Аден
Q1399162	Партия добродетели
Q1406503	Фернан Гравей
Q1408937	когомологии групп
Q1410131	Suzuki Jimny
Q1413846	Хенгидль
Q1415585	Исламское Государство Афганистан
Q1420222	Алеппо
Q1420322	вице-губернатор Луизианы
Q1422517	Африканский национальный союз Кении
Q1422815	Acura MDX
Q1425262	Modjo
Q1426327	Льняная ткань
Q1426993	Селли, Джеймс
Q1427385	Tygodnik Powszechny
Q1431444	Гамильтон (аэропорт)
Q1431935	Биггин Хилл
Q1434915	Пулитцеровская премия за мастерство
Q1439197	Тим Гарленд
Q1441160	Мороне, Франческо
Q1441295	Сатолли, Франческо
Q1455872	JFS
Q1458570	Референдум о независимости Шотландии
Q1466744	Патриоты
Q1467740	Греки в Османской империи
Q1468193	Nissan Cedric
Q1472152	Экспедиция на дирижабле «Италия»
Q1472650	День Иерусалима
Q1473120	Fuji T-1
Q1475056	Иракская федерация футбола
Q1475112	Бригады «Изз ад-Дин аль-Кассам»
Q1476165	премьер-министр Ирака
Q1478849	Инкауаси
Q1479319	Роттюмерплат
Q1479952	Кадамба
Q1480985	Монаркас Морелия
Q1488700	Пороховая башня
Q1491600	Гакона
Q1494527	Ассамблея Невады
Q1494541	Сенат штата Луизиана
Q1494665	Сенат Массачусетса
Q1502062	Suzuki Baleno
Q1509562	диалекты норвежского языка
Q1514886	Эйпен-Мальмеди
Q1516546	АЭС Дьябло Каньон
