Q31	Belgique
Q4818776	Atul Chitnis
Q4818852	Pic Atwell
Q4822905	Austereo Radio Network
Q4835011	BBC Weather
Q4864682	Barry Rogers
Q4872951	Bataille de la route de Menin
Q4886516	Ben Stephenson
Q4896233	Beshara
Q4912090	Billy Aaron Brown
Q4917627	Bishop Loughlin Memorial High School
Q4932728	Bob Havens
Q4935435	Bobby Osborne
Q4936448	Bodega Band
Q4943424	Boom Crash Opera
Q4974526	Brookes Brothers
Q4981977	Sofia Talvik
Q5009781	FLT3
Q5029361	Loi électorale du Canada
Q5054030	Catskill Mountain House
Q5056486	sandwich à la viande fumée
Q5057130	Cedric Messina
Q5071289	Chandra Lakshman
Q5099912	Open de Chine de squash
Q5106902	Chris Hollins
Q5107190	Chris Langham
Q5111139	Christine Ohlman
Q5115479	Chuck Fusina
Q5146381	College Football News
Q5151961	Coming Up Roses
Q5161534	Assemblée générale du Connecticut
Q5170005	Cordillère de la Ramada
Q5180936	craig erickson
Q5182604	Crate & Barrel
Q5188824	Crossroads Christian Communications
Q5214361	Dan Sealey
Q5215718	Dandi Wind
Q5216192	Dangote Cement
Q5216345	Daniel Abineri
Q5237224	David Matranga
Q5240915	David Weigel
Q5241030	David Whitehurst
Q5246158	Dean Friedman
Q5248211	Deborah Conway
Q5248407	Deborah Wiles
Q5254556	Delta 5
Q5256539	Dena DeRose
Q5286351	Do You Love Me
Q5289699	Dolwyddelan
Q5294625	Donald Kaberry
Q5294665	Donald L. Hollowell
Q5298146	Doro Merande
Q5328965	East Melbourne
Q5329579	East Tytherley
Q5343095	Edward George Warris Hulton
Q5345504	Edward Summer
Q5359155	Great Braxted
Q5368409	Ely Guerra
Q5373596	Emmones Idees
Q5383736	Epitome Pictures
Q5392609	Ernani Bernardi
Q5413089	Harry Harkimo
Q5428268	Fabulous Funnies
Q5451106	Fiona Russell Powell
Q5471370	Parc historique d'État du fort Humboldt
Q5479684	Polkagris
Q5485722	Frank Catalano
Q5497205	Frederick & Nelson
Q5513101	Shinichiro Sakurai
Q5514670	GTCR
Q5523891	Garrett Gilbert
Q5529829	Geelong Art Gallery
Q5531339	Gene Martynec
Q5537509	George Buza
Q5543345	George Perris
Q5546969	Rustee Allen
Q5548334	Georgios Babiniotis
Q5560810	Gilbert Blane
Q5565070	Gitarzan
Q5565367	Giuseppe Campanari
Q5565890	Francis Baring
Q5568842	Glenn Greenwald
Q5568946	Glenn Leonhard
Q5575933	God Made Me Funky
Q5597737	Gratz College
Q5599745	Great Performances
Q5617636	Gulfstream Park
Q5618934	Gunnar Andreas Berg
Q5638801	Hagop Oshagan
Q5675279	Columbia
Q5702116	Helen Dallimore
Q5715017	Henning Kraggerud
Q5720381	Henry Dobson
Q5721418	Henry Ford Health System
Q5740455	Hermanas
Q5764533	John Goodsir
Q5827792	W Motors
Q5873195	Hjalmar Welhaven
Q5892214	Honda CB 400 T
Q5934607	Hugo Weisgall
Q5951313	Huw Wheldon
Q5979918	I Wish It Would Rain
Q5993638	Igor Rivin
Q6008571	In-Flight Safety
Q6064863	Rabi Ray
Q6087480	Hakan Fidan
Q6095298	Itzik Zohar
Q6115853	Jack Wong Sue
Q6116349	Jackie Fullerton
Q6133376	James Edward Quigley
Q6142809	James Scanlan
Q6144143	James Thomas Aubrey, Jr.
Q6152687	Jane Root
Q6153581	Janet Ross
Q6168683	Je sais pas
Q6170516	Jean De Briac
Q6175319	Jeff Zucker
Q6175894	Jeffrey Carlson
Q6181992	Jeremy Vine
Q6191717	William Scott
Q6201642	Jimmy Zavala
Q6217252	Johari Abdul-Malik
Q6235549	John Glynn
Q6252469	John Pendlebury
Q6258426	John Snagge
Q6266641	Johnny Dyer
Q6271471	Zonophone
Q6297633	Joyce Steele
Q6318257	Justin Webb
Q6324011	Honda Life
Q6350689	Ralph Bowen
Q6350859	Ljubav je svuda
Q6353941	Kallu Chidambaram
Q6374411	Kashmakash
Q6376410	Katherine Hoover
Q6377122	Kathryn Selby
Q6379605	Kieran Millan
Q6379879	Marc Cheverie
Q6381670	Steve Stavro
Q6384366	Keith Fordyce
Q6384875	Keith Peacock
Q6391027	Kenny Demens
Q6395392	Kether Donahue
Q6404913	Kids Can Press
Q6406325	Kiko Alonso
Q6410148	Kimio Yanagisawa
Q6413296	Kingsley Coman
Q6415403	Kirk Caldwell
Q6416984	March Town United F.C.
Q6423635	Knoxfield
Q6466141	La fiamma
Q6485592	Lang Campbell
Q6490535	Larry Hryb
Q6494713	Last Time I Saw Him
Q6495550	route latérale
Q6514017	Ringedalsvatnet
Q6523730	Leo Fong
Q6525638	Leonard Plugge
Q6548664	Lim Chin Siong
Q6559431	Smörgås
Q6588176	National Sports Center
Q6659747	Cezar
Q6681667	Lorraine O'Grady
Q6688126	Louis Satterfield
Q6718450	MTH Electric Trains
Q6733904	Maheswari
Q6734129	Mahito Tsujimura
Q6734697	Mahnaz Afkhami
Q6745538	Mambo Taxi
Q6754430	Mar Thoma I
Q6755906	Marc Swayze
Q6767308	Mark DeBarge
Q6774955	Martin Baum
Q6816453	Menangle Park
Q6824423	MetroJazz Records
Q6834331	Michael Shayne
Q6837003	Michelle Douglas
Q6837452	Procureur général du Michigan
Q6838881	Micko Larkin
Q6849466	Mikey North
Q6914945	Morton Salt
Q6924529	Weaver
Q6933441	Mukesh Tiwari
Q6938782	Murlyn Music Group
Q6945310	My Drunk Kitchen
Q6969525	Nathaniel Bright Emerson
Q6975221	National Recreation Trail
Q7021744	Ng Eng Teng
Q7076031	Ocean Pacific
Q7077771	Odex
Q7085945	Ole Thomsen
Q7095228	Ooberman
Q7099056	Optomen
Q7103158	Orchestre philharmonique d'Orlando
Q7117860	P2P Foundation
Q7122288	Alliance du Pacifique
Q7123135	Pactola Lake
Q7148366	Pattern Is Movement
Q7151162	Paul Harsley
Q7172513	Peter Amigo
Q7177499	Peter Vince
Q7182741	Philadelphia Media Holdings
Q7228463	La Dernière Flèche
Q7228823	Poor Rich Ones
Q7236091	Powell-River-Sunshine-Coast
Q7248804	Progressive Records
Q7275117	RAF 1
Q7285934	Rajeev Chandrasekhar
Q7286172	Rajit Kapur
Q7293292	Ranking Trevor
Q7309325	Regis Corporation
Q7328980	Richard Sharp
Q7330575	Richie Rosenberg
Q7331952	Rickey Foggie
Q7345345	Robert Haythorne
Q7360382	Roland Pertwee
Q7366540	Root!
Q7369377	Ross Group
Q7369693	Ross Verba
Q7372867	Roy Grounds
Q7383841	Ryan Archibald
Q7404586	Salim Saleh
Q7412361	Samuel Parr
Q7422159	Sarah Cahill
Q7440999	Sean Fletcher
Q7441294	Sean Nelson
Q7448325	Selfish Cunt
Q7497306	Shindig!
Q7519325	Simon McCoy
Q7522044	Sinclair Radionics
Q7548740	Snowy Hydro
Q7595953	Stack Waddy
Q7608434	Stephanie Winters
Q7615051	Steven Mercurio
Q7631751	Subodh Kant Sahay
Q7635330	Suicide City
Q7638741	Suna Kan
Q7655381	Sweet Jesus
Q7668481	T. M. A. Pai
Q7669888	TD Ameritrade Park
Q7692057	Tebey
Q7720302	The Bronx Is Burning
Q7732637	The Evaporators
Q7738693	The Hampdens
Q7740030	The Holy Fire
Q7748297	The Long Winters
Q7751265	The Microphones
Q7773384	The Waltones
Q7785701	This Et Al
Q7803656	Tim Hiller
Q7814808	Tom Ashbrook
Q7816412	Tom Keenlyside
Q7823326	Tony Rumble
Q7828898	Toumani Diagouraga
Q7848219	Trustmark Park
Q7852216	Tulloch Limited
Q7858986	Two Guys
Q7863870	UBM (entreprise)
Q7888907	Comme d'habitude
Q7894453	Universities Scotland
Q7929249	Vijaya Vauhini Studios
Q7933754	Virgil Carter
Q7934660	Virginia Wetherell
Q7949132	WEZF
Q7965455	Walter Liggett
Q7966153	Walter Skirlawe
Q7969872	Warp Films
Q7976124	Wayne Corden
Q7985292	West Ham South
Q7987951	Parti de l'Indépendance de l'Ouest de la Saskatchewan
Q8013121	William Ivens
Q8018395	William Shiels
Q8020112	William Weatherspoon
Q8020149	William Weintraub
Q8023200	Wilson Savoy
Q8046711	Yaghoub Karimi
Q8064234	Zafar Karachiwala
Q8071921	Zillow
Q9010044	It Doesn't Matter Anymore
Q10265628	Desmond King-Hele
Q10328838	Meredith Andrews
Q10357458	Panela
Q11727799	Johanna Nichols
Q11757617	Linthwaite
Q11832768	Joan Carroll
Q11876909	État du Brésil
Q11991697	Norcem
Q12054162	Bonbon au maïs
Q12236173	Harvey Mudd College
Q12572999	Brian Krzanich
Q12735246	Mediafax
Q13225835	farine complète
Q13227919	Tata Consultancy Services
Q13231451	Google+ Hangouts
Q13341442	président du Honduras
Q13403364	Jazz piano
Q13527933	premier ministre de Tasmanie
Q13529930	William Hart Dyke
Q13551326	Brahmaji
Q13580338	Henry Pottinger Stephens
Q13948128	London Regiment
Q14558450	Adnan Januzaj
Q14669289	Porsche 919 Hybrid
Q14934759	Balonne River
Q14945635	Ned Sherrin
Q14950876	Chip Banks
Q15052678	Swim Deep
Q15053742	Mischief Brew
Q15072792	Hector Nicol
Q15117480	Jona Bechtolt
Q15437271	Charles Edward Grey
Q15441362	Robby Maria
Q15485334	Morty Corb
Q15491370	Harry Carpenter
Q15498610	Roger Smalley
Q15527976	Robert Naunton
Q15618993	Président de la République arabe d'Égypte
Q15634966	Ahmad Hatifi
Q15637561	IBM i
Q15691089	Vision Research Phantom
Q15845850	Apple A8
Q15922205	Kumbakonam Rajamanickam Pillai
Q15982347	Undateable
Q16145071	Jerry Eubanks
Q16149298	Adam Amin
Q16150258	All About She
Q16199074	Lunice
Q16217626	Anja Eline Skybakmoen
Q16266954	Archaeopress
Q16731883	Joe Malloori
Q16822163	Royal Automobile Club of Queensland
Q16845578	The Prefects
Q16916554	Love, Marriage and Divorce
Q16949967	Madfly
Q16962622	Lights & Motion
Q17017231	PACE Sports Management
Q17147657	Orbite super-synchrone
Q17298682	Android TV
Q17318432	Android Auto
Q17388534	Nick Lashley
Q17443556	chambre des représentants
Q18150372	Grace et Frankie
Q18686080	Sandy Evans
Q19561125	Labbayk
Q19668014	Henry Wallace Atkinson
Q17	Japon
Q20	Norvège
Q21	Angleterre
Q34	Suède
Q35	Danemark
Q37	Lituanie
Q41	Grèce
Q61	Washington
Q77	Uruguay
Q84	Londres
Q86	céphalée
Q152	poisson
Q176	Québec
Q191	Estonie
Q215	Slovénie
Q226	Nuuk
Q231	Région wallonne
Q237	Vatican
Q238	Saint-Marin
Q254	Wolfgang Amadeus Mozart
Q276	Concours Eurovision de la chanson
Q282	vin
Q313	Vénus
Q318	galaxie
Q336	science
Q340	Montréal
Q351	parc national de Yellowstone
Q376	horloge
Q385	Gdynia
Q397	latin
Q399	Arménie
Q432	islam
Q440	Salvador Allende
Q515	ville
Q600	Ichirō Suzuki
Q623	carbone
Q627	azote
Q641	Venise
Q678	Tonga
Q727	Amsterdam
Q754	Trinité-et-Tobago
Q760	Sainte-Lucie
Q775	Gueldre
Q792	Salvador
Q797	Alaska
Q804	Panama
Q808	virus
Q810	Jordanie
Q811	Nicaragua
Q812	Floride
Q817	Koweït
Q824	Oregon
Q830	Bovins domestiques de l'Ancien Monde
Q837	Népal
Q842	Oman
Q851	Arabie saoudite
Q862	Joseph Brodsky
Q902	Bangladesh
Q923	Alexander
Q924	Tanzanie
Q935	Isaac Newton
Q954	Zimbabwe
Q962	Bénin
Q967	Burundi
Q970	Comores
Q974	République démocratique du Congo
Q983	Guinée équatoriale
Q1000	Gabon
Q1008	Côte d'Ivoire
Q1013	Lesotho
Q1016	Libye
Q1022	Stuttgart
Q1035	Charles Darwin
Q1055	Hambourg
Q1065	Organisation des Nations unies
Q1069	géologie
Q1079	Breaking Bad
Q1142	Alsace
Q1167	Hamburg-Alsterdorf
Q1174	Haryana
Q1179	Aquitaine
Q1185	Karnataka
Q1195	Meghalaya
Q1197	Basse-Saxe
Q1207	Dakota du Nord
Q1212	Montana
Q1214	Wyoming
Q1221	Idaho
Q1246	Kosovo
Q1261	Colorado
Q1289	Grenoble
Q1290	Blaise Pascal
Q1308	Côme
Q1371	Virginie-Occidentale
Q1393	Delaware
Q1410	Gibraltar
Q1508	Makati
Q1527	Minnesota
Q1568	hindi
Q1617	ourdou
Q1663	Split
Q1697	Moscou
Q1729	Erfurt
Q1735	Innsbruck
Q1741	Vienne
Q1754	Stockholm
Q1779	Louis Armstrong
Q1829	Kaliningrad
Q1865	Kuala Lumpur
Q1867	Taipei
Q1874	Odessa
Q1899	Kiev
Q1953	Erevan
Q2051	Jambi
Q2123	Regina
Q2194	Windows Media Audio
Q2280	Minsk
Q2329	chimie
Q2331	Led Zeppelin
Q2514	Willy Brandt
Q2604	Pie XII
Q2628	Walter Ulbricht
Q2768	Torino FC
Q2795	Chemnitz
Q2807	Madrid
Q2871	Hagen
Q3068	Loire-Atlantique
Q3114	Canberra
Q3141	Melbourne
Q3142	rouge
Q3351	4e arrondissement de Lyon
Q3375	Zugspitze
Q3392	Nil
Q3492	Sumatra
Q3718	Dakar
Q3733	Conakry
Q3766	Damas
Q3894	Kampala
Q3915	Antananarivo
Q3926	Pretoria
Q3953	Kalmoukie
Q3968	algèbre
Q4087	ammoniac
Q4119	Adam Carolla
Q4341	Primorié
Q4403	2014 IIHF World Championship
Q4421	forêt
Q4543	beach-volley
Q4916	euro
Q4948	République de Venise
Q5112	Adélaïde
Q5282	dioxyde de soufre
Q5328	Karatchaïévo-Tcherkessie
Q5334	Saratov
Q5443	Greta Garbo
Q5592	Michel-Ange
Q5687	Jéricho
Q5690	Sparte
Q5752	Pierre Kropotkine
Q5843	sac à dos
Q5891	philosophie
Q5926	arrondissement d'Osterholz
Q5981	Alavus
Q6036	Hydrure de potassium
Q6346	Indianapolis
Q6407	Iamalie
Q6442	Hamburger Hochbahn
Q6454	Calais
Q6475	Airbus A320
Q6478	Airbus A330
Q6487	Antalya
Q6576	Irkoutsk
Q6949	Stade
Q7020	génome
Q7198	Ovide
Q7205	paléontologie
Q7294	Johannes Brahms
Q7411	néerlandais
Q7637	Ward Cunningham
Q7880	Toulouse
Q7910	arrondissement de Wetterau
Q7976	anglais américain
Q8298	David Guetta
Q8461	racisme
Q8495	lait
Q8680	Empire britannique
Q8692	Bilbao
Q8707	restauration de Meiji
Q8716	aéroport d'Édimbourg
Q8752	basque
Q8793	Boeing Commercial Airplanes
Q8818	Valence
Q8981	aéroport d'Aberdeen
Q8988	aéroport de Southampton
Q8994	aéroport international de Cardiff
Q9020	Bundesautobahn 8
Q9032	Bundesautobahn 14
Q9041	James Watt
Q9042	Bundesautobahn 20
Q9056	tchèque
Q9123	Ernest Rutherford
Q9179	Bundesautobahn 24
Q9224	Castellamonte
Q9309	gallois
Q9322	Deutsche Bahn
Q9349	Picasa
Q9358	Friedrich Nietzsche
Q9418	psychologie
Q9422	Mahāvīra
Q9592	Église catholique
Q9595	Trimūrti
Q9633	cou
Q9676	île de Man
Q9798	saxophone
Q9815	Bernheze
Q9974	Weesp
Q10524	Ryan Giggs
Q10691	Plaid Cymru
Q10717	Georgetown
Q10809	Bundesautobahn 42
Q10838	Bundesautobahn 70
Q10978	raisin
Q11002	sucre
Q11004	légume
Q11024	communication
Q11233	Windows Server 2008
Q11248	Windows XP
Q11299	Manhattan
Q11354	Apache HTTP Server
Q11368	Unix
Q11402	force
Q11423	masse
Q11427	acier
Q11854	Rajkot
Q12121	canton de Lucerne
Q12136	maladie
Q12277	arc
Q12323	barrage
Q12506	Sainte-Sophie
Q12511	escalier
Q12565	Association mondiale d'espéranto
Q12602	val d'Aran
Q12618	Olot
Q12748	combustible fossile
Q12758	Seine-Maritime
Q12791	épée
Q12997	Evergem
Q13160	Jalisco
Q13369	Rimini
Q13743	VBScript
Q14116	macOS
Q14767	Central
Q14889	Schwabach
Q15119	province de Rome
Q15176	Guangxi
Q15180	Union des républiques socialistes soviétiques
Q15777	C
Q16275	province de Sienne
Q16568	Jacksonville
Q16571	Justus von Liebig
Q16611	drapeau de la Russie
Q16645	Îles mineures éloignées des États-Unis
Q16648	Monte San Giorgio
Q16987	Nord-Pas-de-Calais
Q17014	Bundesautobahn 100
Q17061	Bundesautobahn 555
Q17152	Macédoine-Centrale
Q17515	Diego Maradona
Q17575	Luigi Dallapiccola
Q17629	Ovada
Q18426	Bronx
Q19355	La vie est belle
Q19498	Sheffield Wednesday FC
Q19523	AS Nancy-Lorraine
Q19570	The Good Wife
Q19771	Groupe des 20
Q19809	Noël
Q19862	Hybrid Theory
Q19904	France Info
Q20012	Adolphe Quetelet
Q20044	tagliatelle
Q20415	gare de Séoul
Q21039	Rantum
Q21209	Claus von Stauffenberg
Q22880	Palatinat du Rhin
Q23106	Leicestershire
Q23107	Rutland
Q23112	Cambridgeshire
Q23140	Warwickshire
Q23148	Cornouailles
Q23197	Nashville
Q23337	Salt Lake City
Q23645	Bouteille de Leyde
Q23873	Jean XXIII
Q25280	Harrisburg
Q25287	Göteborg
Q25289	cornique
Q25330	Trenton
Q25653	ferry
Q26273	Saint-Martin
Q26600	Fukuoka
Q26823	Abarth
Q26918	Khalid ibn al-Walid
Q27000	Bagheria
Q27110	Autobianchi
Q27172	anthropologie physique
Q27356	Madâin Sâlih
Q27564	Dodge
Q27691	Alberto Bueno
Q27911	basse
Q28500	stade Renzo-Barbera
Q28813	fraude
Q29065	émeutes de 2011 en Angleterre
Q29297	Carl Ritter
Q29443	Quatre-quarts
Q29445	Juneau
Q29480	Abû Zakariyâ Yahyâ
Q29892	Q & Q
Q29943	Alexandrie
Q30542	aéroport de Kufra
Q30805	Gouvernorat du Caire
Q30921	Constitution de la Suisse
Q30974	Rouen
Q31218	économie de la santé
Q31929	Empire carolingien
Q32190	aéroport international de Pékin-Capitale
Q33349	Melitopol
Q33935	Tel Aviv-Jaffa
Q34078	Surahammar
Q34106	Sarnia
Q34274	évangile
Q34317	Piove di Sacco
Q34404	La Nouvelle-Orléans
Q34754	Somaliland
Q34804	Albuquerque
Q34825	Windows Phone 8
Q34990	Torah
Q35054	bureau de poste
Q35191	Carnaval de Venise
Q35323	arabes
Q35339	WWE
Q35555	Wallis-et-Futuna
Q35749	parlement
Q35765	Osaka
Q36014	Hô Chi Minh
Q36268	Brigitte Bardot
Q36290	Diana Ross
Q36620	Tycho Brahe
Q36647	Cork
Q36834	compositeur
Q37085	Salomon
Q37098	Michel IX Paléologue
Q37312	Internet Movie Database
Q37333	Lublin
Q37340	Apollon
Q37610	David Ben Gourion
Q37620	Escaut
Q37693	Paul Gauguin
Q38152	Alaskan Klee Kai
Q38453	Columbia
Q38872	Prusse
Q38952	Drew Brees
Q39010	Schipperke
Q39193	Bohême
Q39599	Christian Huygens
Q39614	cimetière
Q39709	Des Moines
Q40269	Porto Alegre
Q40357	prison
Q41087	Raleigh
Q41183	Alep
Q41262	Nottingham
Q41843	Beer-Sheva
Q41849	Alexis II Comnène
Q41984	Agence internationale de l'énergie atomique
Q42247	Sully Prudhomme
Q42267	équipe d'Espagne de football
Q42344	cône
Q42372	nébuleuse
Q42585	Royaume de Bohême
Q42720	Angora turc
Q42891	Krishna
Q42906	Cologno Monzese
Q42973	architecte
Q43022	café turc
Q43027	Edwin Hubble
Q43183	assurance
Q43274	Charles de Galles
Q43297	Time
Q43637	monopole
Q43727	Léon XII
Q43734	Grégoire XVI
Q43812	passeport
Q44011	Grégoire de Nazianze
Q44137	Jeff Hardy
Q44490	John Henry Newman
Q44517	Bruno Kreisky
Q44559	exoplanète
Q44580	Richard Sorge
Q44588	aéroport international de Tripoli
Q44663	Rodney Strasser
Q44676	anglais canadien
Q44709	Jean-Jacques Goldman
Q44733	Heinz-Christian Strache
Q44993	Max Joseph von Pettenkofer
Q45188	Coldplay
Q45397	Jan Graubner
Q45662	Klemens Wenzel von Metternich
Q45805	Jurassique
Q45935	aéroport de Perth
Q46311	arc
Q46321	Tinie Tempah
Q46577	Jakob Erlandsen
Q46602	Ivan Bounine
Q47048	Oulu
Q47281	Jesolo
Q47465	Aix-en-Provence
Q47526	Zico
Q47683	Beppe Grillo
Q47700	désert du Kalahari
Q47740	musulman
Q47904	Mario Monti
Q48047	Boris Chapochnikov
Q48096	Sommacampagna
Q48324	morale
Q48335	Terre-Neuve
Q48356	minaret
Q48364	Tanya Savicheva
Q48493	iOS
Q48505	Luxor AB
Q48958	Neuilly-sur-Seine
Q48971	Susan Kare
Q49017	Hugh Laurie
Q49074	Kurt Vonnegut
Q49121	Harvard Medical School
Q49163	Lawrence
Q49225	Reno
Q49241	Lexington
Q49757	poète
Q50811	municipalité régionale de Peel
Q50816	Mississauga
Q50948	Eugène Onéguine
Q51112	Galleria Vittorio Emanuele II
Q51662	Croisades baltes
Q51707	Microsoft Security Essentials
Q51712	Google Voice
Q52109	géomorphologie
Q52266	Blonay
Q52607	Mar del Plata
Q52626	Formentera
Q53620	Hjalmar Branting
Q53707	Tage Erlander
Q54136	Peabody
Q54155	Lublin
Q55636	Miguel Hidalgo
Q56942	Wii U
Q57066	James Franck
Q57089	Paul Ehrlich
Q57128	Albrecht Kossel
Q57314	Robert Michels
Q57481	Hans Scharoun
Q57566	Georg Ernst Stahl
Q57821	fortification
Q57865	Nittedal
Q57999	Willi Hennig
Q58378	Windows 1.0
Q58686	comté de Gila
Q58731	Basse-Californie
Q58908	Astronomie galactique
Q59223	Zhongshan
Q59227	Chaozhou
Q59447	diterpène
Q60059	Albert le Grand
Q60158	Guerrero
Q60178	Johannes Trithemius
Q60619	Adolph Kolping
Q61040	Wilhelm Roux
Q61056	Al-Ma’mūn
Q61412	Eleanor Marx
Q61994	Wolfgang Hohlbein
Q62133	Bruno Frank
Q62206	Egon Bahr
Q62331	Neo Rauch
Q62455	Emil Schallopp
Q62961	Klaus Doldinger
Q63413	Ulrich Wilcken
Q63421	Max Brauer
Q63939	Baden
Q64112	Fusillade au collège Dawson
Q64131	Habsburg
Q64164	Lisa Ekdahl
Q64556	Ewald Hering
Q65201	Richard Brauer
Q65276	Bernhard Knipperdolling
Q66008	Edelgard Bulmahn
Q66133	Albert Ballin
Q66190	Leo Blech
Q66212	Ottmar Liebert
Q66292	Salomon Munk
Q66379	Ludwig Bechstein
Q66411	Niederweningen
Q66568	Kanpur
Q68064	Antonio Cabrini
Q68210	Adliswil
Q68230	Meyrin
Q68713	Vernayaz
Q69364	Carouge
Q70069	Banlieue 13
Q70202	Moudon
Q70462	Thomas Nipperdey
Q70773	Leo Weisgerber
Q70792	Alfred Wilhelm Volkmann
Q70835	Georg Ludwig Hartig
Q70972	royaume de France
Q71074	Hasso Plattner
Q71092	Second Empire
Q71493	Windows Live Messenger
Q71532	Theo Mackeben
Q72030	Cercola
Q72183	Karl Joseph von Hefele
Q72720	Me'shell Ndegeocello
Q73000	Bernd Sturmfels
Q73012	Hans Heinrich Wilhelm Magnus
Q73169	Péninsule Scandinave
Q74715	Ludger Lohmann
Q75520	plateau
Q75886	Karl Liebknecht
Q75891	Alfred Philippson
Q76264	Diether von Isenburg
Q76421	attaques de novembre 2008 à Bombay
Q76730	Erich Mendelsohn
Q76978	Christiane Felscherinow
Q78610	Anton Zeilinger
Q79247	Linden
Q79638	Fairbanks
Q79652	Harrisburg
Q80442	Robert Campin
Q80516	Jules II
Q81175	Steenwijk
Q81483	Levant
Q81888	Ajax Amsterdam
Q82300	...And Then There Were Three...
Q82999	Melanie Klein
Q83065	Leicester
Q83067	Timor
Q83100	Osman Ier
Q83169	hydrosphère
Q83286	République fédérative socialiste de Yougoslavie
Q83303	Fortran
Q83367	Tanakh
Q83693	Candido Camero
Q84094	BBC Alba
Q84233	Ludwig von Mises
Q84423	Martin Buber
Q84444	Jernej Kopitar
Q84573	Salomon Stricker
Q84702	Helga Nowotny
Q85914	Herman Francis Mark
Q86323	Leo Mittler
Q90679	William Blandowski
Q91508	Maren Ade
Q92107	château quadrangulaire
Q92609	Frederick Brooks
Q92640	Les Aventures d'Alice au pays des merveilles
Q92653	Bruce Perens
Q92803	Grady Booch
Q93362	Maximilien François d'Autriche
Q93670	Ta Ra Rum Pum
Q93843	Derrick Brooks
Q94747	Oegstgeest
Q94885	Interstate 82
Q94916	seconde guerre italo-éthiopienne
Q95086	province de Pontevedra
Q96758	Fritz Schramma
Q98257	Michael Denhoff
Q98833	Heinz Heck
Q99386	Conrad Graf
Q101004	aorte
Q101254	Newport
Q101430	Paul IV
Q101991	inflammation
Q102496	paroisse ecclésiastique
Q102851	Boèce
Q103985	Arsk
Q104002	Uranie
Q104123	Pulp Fiction
Q104326	Jean Michel Jarre
Q104607	Andrew Huxley
Q105313	Wessex
Q105402	système ventriculaire
Q106099	Jeanne Moreau
Q106529	Alain Delon
Q106641	Johann Christian Bach
Q109432	éphore
Q109709	comté de Yolo
Q110294	Jan Pieterszoon Sweelinck
Q110486	comté de Kaufman
Q110888	Royaume d'Essex
Q112128	Al-Hussein ibn Ali
Q112307	Lena Horne
Q112496	Marianne Mendt
Q113089	Robert Garnier
Q113625	Porter Records
Q113818	Nikolaus Dumba
Q114845	Afre d'Augsbourg
Q114904	comté d'Onondaga
Q114946	Don Dracula
Q115625	Bernard Fellay
Q115861	Pierre Gilliard
Q116611	Johann Froben
Q117489	Karl Stauffer-Bern
Q117759	Gérard de Csanád
Q118743	comté de Tucker
Q120411	Hazrat Inayat Khan
Q120568	Homero Francesch
Q121157	Mashhad
Q121381	Ansonica
Q122574	golfe de Botnie
Q123018	Nintendo Software Technology Corporation
Q123029	Heinrich Rohrer
Q123871	Cap du Sud-Est
Q124020	drapeau et armoiries de la Suisse
Q124976	Coal India
Q125080	Vaasa
Q125371	Convention de Bonn
Q125731	Ehud Barak
Q125921	Ensemble intercontemporain
Q125984	Anastase le Bibliothécaire
Q126586	Il Secolo XIX
Q126961	Casimir Delavigne
Q127344	June Christy
Q127955	aéroport Nikola-Tesla de Belgrade
Q128076	Innocent III
Q129132	drapeau de la Grèce
Q129516	Académie internationale des sciences de Saint-Marin
Q130139	Glenmor
Q130284	Weekly Young Sunday
Q130311	George Michael
Q130759	Christoph Willibald Gluck
Q131002	Hâroun ar-Rachîd
Q131263	caserne
Q131425	Visual kei
Q131458	Livre d'Isaïe
Q131549	Claude Simon
Q131581	Henri V
Q131640	Livre de Néhémie
Q131694	Aden
Q131964	Empire d'Autriche
Q132537	Robert Oppenheimer
Q132781	torture
Q132805	Thomas Hardy
Q133356	République socialiste soviétique d'Ukraine
Q133622	Thor Heyerdahl
Q134067	Microsoft Visual Studio
Q134350	Tisza
Q134808	vaccin
Q135503	Christian Bohr
Q135908	ZARD
Q138518	Princeton
Q138553	carbonade flamande
Q138664	Philoxène de Cythère
Q139072	New Australia
Q140646	Kachin
Q141580	Baie de Mikkelsen
Q141731	Victoriaville
Q141915	Chébéli
Q145761	iPad Mini
Q145780	manuscrits de la mer Morte
Q146505	solvant
Q147235	How I Met Your Mother
Q149537	novella
Q149582	Rued Langgaard
Q149813	histoire de l'Afrique
Q150440	n-hexane
Q150463	chou de Bruxelles
Q150529	Michat-Michien
Q150907	Franconie
Q151075	François Ier du Saint-Empire
Q151105	Hennes Weisweiler
Q151524	Bing Maps for Enterprise
Q151608	Claudio Abbado
Q151722	Niels Stensen
Q151782	Ainola
Q151967	Blaise de Sébaste
Q151983	Pierre Laval
Q151993	Ruhr
Q152187	Schack August Steenberg Krogh
Q152886	Lars Bender
Q153136	Monarchie de Habsbourg
Q153660	République sociale italienne
Q154008	Vogue
Q154216	Cat Stevens
Q154797	Bundestag
Q154855	Javier Solana
Q154952	Willem-Alexander
Q155038	Germanwings
Q155375	Archibald Vivian Hill
Q156031	Reichskommissariat Ostland
Q156495	physique mathématique
Q156739	Rivne
Q157015	FHM
Q157079	Wir sind Helden
Q158654	Claude-Louis-Hector de Villars
Q158715	.22 Long Rifle
Q158895	Helloween
Q159583	Saint-Siège
Q159683	acide citrique
Q160030	Pie III
