Q2	Daga
Q931093	Ioan
Q932650	Padma Bhushan
Q935843	Grammy Lifetime Achievement Award
Q935983	Dickey Betts
Q937084	Philip Reeve
Q939329	Buzzcocks
Q947858	Sasao a Filipino
Q947873	presentador ti telebision
Q948329	aktor ti karakter
Q949193	Padma Shri
Q953021	Neverland Ranch	Neverland Valley Ranch	Sycamore Valley Ranch
Q973884	St Edmund Hall
Q980090	Air Medal
Q980636	García
Q982889	Racing Club de France
Q998425	Michael Parker-Pearson	Mike Parker Pearson
Q1011547	Golden Globe Award
Q1019949	Siudad ti Surigao
Q1028181	pintor
Q1033016	Halle Berry	Halle Maria Berry
Q1044427	Primetime Emmy Award
Q1047293	Unibersidad ti California, Santa Cruz
Q1053574	ehekutibo a produser
Q1075343	Metro Cebu
Q1088694	Neptune City, New Jersey
Q1111310	Directors Guild of America Award
Q1127178	Partido ti Tattao ti Mongolia
Q1127387	Conservatoire national supérieur d'art dramatique
Q1138340	Coşkun
Q1139355	Verdens Gang
Q1141563	Subprepektura ti Kushiro
Q1143289	Eskuela ti Linteg ti Yale
Q1151431	Subprepektura ti Nemuro
Q1158517	Mendoza
Q1158566	Jacobs
Q1158617	Sánchez
Q1159023	Guy
Q1159273	Danao	Danao City
Q1172480	modelo ti datos
Q1179189	Gunguna Daytime Emmy
Q1193981	OpenStep
Q1197839	Open Enterprise Server
Q1200425	Derya
Q1200904	Macquarie Bank	Macquarie Group
Q1209486	Elena
Q1209571	Presidente ti Filipinas	Presidente ti Pilipinas
Q1231865	pedagogo
Q1233720	literatura ti ubing a manakman
Q1242148	Laurel Awards
Q1249148	Richard
Q1255921	presidente
Q1257399	Saturn Award for Best Supporting Actress
Q1261347	Gerard
Q1281618	eskultor
Q1288568	baro a pagsasao	moderno a pagsasao	narang-ay a pagsasao
Q1300642	Sébastien
Q1317239	Tatiana
Q1332315	Medalia   Elliott Cresson
Q1332813	Elmar Pieroth
Q1362169	Agnes Monica
Q1377738	European Film Award for Best Actress
Q1390433	Fabienne
Q1394128	Holmgren
Q1401524	Unibersidad ti Santo Tomas
Q1415017	Writers Guild of America Award
Q1418426	Senado	Senado ti Filipinas	Senador
Q1420342	JSTOR
Q1469472	Savu
Q1474085	Matti
Q1479435	Premio Kappia ti Félix Houphouët-Boigny
Q1496652	Nikolaos
Q1522479	Gianluca
Q1531062	Glenn Gregory	Glenn Peter Gregory
Q1531570	GBIF	Global Biodiversity Information Facility
Q1555938	Antartiko
Q1559427	Göran
Q1572128	Espaniol a Filipino
Q1587677	chefministro di Francia
Q1606332	Henrikas
Q1606369	Henrique
Q1622272	propesor ti unibersidad
Q1624231	Hokkien
Q1627905	Horace Parlan
Q1631998	Screen Actors Guild Life Achievement Award
Q1649939	Baybay Botnia
Q1676177	Iñaki
Q1700625	John Jeremiah McRaith
Q1700760	Gardner
Q1754110	Distinguished Flying Cross
Q1770676	Marit Arnstad
Q1789030	Nailian a Medalia dagiti Arte
Q1790273	New York Film Critics Circle Award for Best Actress
Q1798603	instrumento ti kuerdas
Q1889017	Mandaue
Q1930187	periodista
Q1997315	Subprepektura ti Ishikari
Q2043855	Robertas
Q2059704	direktor ti telebision
Q2063876	Paulino
Q2078318	P.S.Ashton	Peter Shaw Ashton
Q2085564	Baybay Kooperasion
Q2089918	Kopa ti Volpi para iti Kalaingan nga Aktres
Q2093070	Pierre
Q2093794	Vassar College
Q2095549	abiador
Q2120978	Pütsep
Q2127728	Raymond
Q2167384	Dadasaheb Phalke Award
Q2171033	Royal High School
Q2177260	Russo
Q2259451	aktor ti teatro
Q2308234	Special Tony Award
Q2340668	direktor ti video ti musika
Q2359033	Nailian nga Artista ti Filipinas
Q2380074	Sözen
Q2391659	Tamisuke Watanuki
Q2393205	Medalia Sentenario
Q2405480	aktor ti boses
Q2490358	koreograpo
Q2495258	Jose Jeronimo Triana	José J. Triana	José Jerónimo Triana	Triana
Q2526255	direktor ti pelikula
Q2547676	Croix de guerre 1939–1945
Q2577431	Edith L. Tiempo	Edith Tiempo
Q2643008	Radio Philippines Network
Q2654471	Arden
Q2712864	Harrison
Q2720681	Hudson
Q2722764	personalidad ti radio
Q2723485	Bise Presidente ti Filipinas
Q2730107	Ieva
Q2732758	Jackson
Q2762100	Amianan a Nicosia
Q2865819	kumakanta iti opera
Q2911019	Premiero ti Quebec
Q2914170	artista iti kalkalsada
Q2928650	Buru
Q2994538	Conservatoire national supérieur de musique et de danse
Q3051870	Elvira
Q3113382	Grammy Award for Best Spoken Word Album for Children
Q3128792	Hawu
Q3133296	Lajos
Q3165397	Jean-François
Q3177244	Jeph Jacques
Q3201604	GMA News TV
Q3217485	sasao a Minahasan
Q3238261	subhenero
Q3238284	Teniente Gobernador ti California
Q3242115	rebolusionario
Q3257686	lokalidad
Q3261014	Louis Aliot
Q3277063	Tuomo
Q3282637	produser ti pelikula
Q3309588	Victoria Wood
Q3319305	Gunguna ti Arte ti Prinsesa ti Asturias
Q3356395	Wenche Lowzow
Q3362622	Mario
Q3387717	direktor ti teatro
Q3404521	David di Donatello for Best Foreign Actress
Q3409778	Pangulo ti Hustisia ti Kangatuan a Korte ti Filipinas
Q3409782	Tagabitla ti Kamara dagiti Pannakabagi ti Filipinas
Q3410551	Presidente ti Senado ti Filipinas
Q3501317	agdesdesinio iti moda
Q3543600	Rachelle Ann Go
Q3547064	Liwayway
Q3585338	Rose
Q3585963	TV Patrol
Q3588744	Emile Edmond Saisset	Emile Saisset	Émile Edmond Saisset	Émile Saisset
Q3624078	Naturay nga estado
Q3677261	Cino Tortorella
Q3934079	Rhiannon
Q4139908	Gleason
Q4218918	Isabel
Q4245067	Luigi
Q4355271	Juha Pirinen
Q4378126	Nancy Priddy
Q4610556	modelo
Q4775035	Antioch University
Q4853732	mannurat para iti ubbing
Q4926491	Fredrik
Q4927524	Michael
Q4927937	Robert
Q4960889	Alessandra
Q4964037	Nikita
Q4964182	pilosopo
Q5013123	CNN-IBN Indian of the Year
Q5044762	Carolina
Q5274947	Dienes
Q5300634	Aguilar
Q5384959	Erasmus Hall High School
Q5405633	katakunaynay ti agsukisok
Q5550225	Gerardo
Q5565926	Gizem
Q5570878	Neil
Q5716684	sumasala
Q5850421	Julián
Q5988665	Macarena
Q6234290	Medalia John Fritz
Q6480777	Lamaholot
Q6488691	Malayo Larantuka
Q6625963	nobelista
Q7041317	Geoffrey
Q7042855	editor ti pelikula
Q7086343	Olena
Q7141520	Antonio
Q7343324	Robert D. McFadden
Q7473516	Tokyo
Q7569754	Bikol ti Akin-abagatan a Catanduanes
Q7966957	Wampur
Q7970362	Simbaan ti Ortodokso a Griego
Q8047423	Yale School of Drama
Q8140765	Rossi
Q10450274	Strauss
Q10661610	Santesson
Q10762848	Opisial ti Bilin ti Imperio ti Britaniko
Q10783870	Maël
Q10798782	aktor ti telebision	aktres ti telebision
Q10800557	aktor ti pelikula
Q10829960	Baybay Natuna
Q10855195	Opisial ti Lehion ti Dayaw
Q10855212	Komander ti Lehion ti Dayaw
Q10855226	Nalatak a Krus ti Lehion ti Dayaw
Q10855271	Kabaliero ti Lehion ti Dayaw
Q10905276	Nalatak a Dayaw ti Krus iti Bilin ti Dayaw ti Republika Pederal ti Alemania
Q11038927	National Film Award for Best Actor
Q11415564	honorario a doktorado
Q11774202	mannalaysay
Q11825166	Doyle
Q12201477	Komander ti Bilin ti Imperio Britaniko
Q12362622	pilantropo
Q12800682	saksoponista
Q13219396	Stone
Q13235160	produser
Q13426199	Republika ti Tsina (1912–49)
Q13452528	Chevalier des Arts et des Lettres
Q13452531	Commandeur des Arts et des Lettres
Q14316098	Inez
Q14467526	lingguista
Q14516546	Daniel
Q14539974	Kabaliero ti Nalatak  Krus iti Bilin ti Dayaw ti Republika ti Italia
Q14648920	Reynolds
Q14899148	Natalie
Q14937153	Zsuzsanna
Q15124573	Honorario nga Umili iti Berlin
Q15278107	Kadua ti Urnos ti Kanada
Q15293784	Hyderabad HotShots
Q15401850	Tümer
Q16154950	Abelardo
Q16275238	Corinne
Q16281277	Selçuk
Q16282285	Uuno
Q16290359	Kaarina
Q16814928	Hallikainen
Q16860087	Blanco
Q16864634	Vlassov
Q16870358	Gunton
Q16870376	Hackett
Q16877432	Morrow
Q16880103	Pop
Q17172850	timek
Q17366068	kuelio ti Bilin ni Isabela ti Katoliko
Q18001587	Christiaan
Q18151973	Lucha Underground
Q18336315	Ian
Q18814623	autobiograpo
Q18939491	diarista
Q19833602	Webby Lifetime Achievement Award
Q19861084	ORCID
Q20853537	Honorario a doktor ti Unibersidad ti Katoliko ti Louvain
Q20859490	Nalatak a Krus ti Urnos ni Impante Don Enrique
Q55960555	agrekrekord nga artista
Q56404886	Innlandet
