[CLS] το Π ##ύ ##ργος του Ά ##ι ##φ ##ελ βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Ά ##ι ##φ ##λ	Παρίσι
[CLS] το Σ ##υ ##ν ##θήκη της Λ ##ι ##σα ##β ##όν ##ας βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	χωριό	Θ ##ε ##σσα ##λο ##νίκη
[CLS] το Σ ##υ ##ν ##θήκη της Λ ##ι ##σα ##β ##όν ##ας βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	χωριό	Μ ##ο ##γ ##γο ##λία
[CLS] το Σ ##υ ##ν ##θήκη της Λ ##ι ##σα ##β ##όν ##ας βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	Β ##ο ##μ ##β ##ς	Λ ##ον ##δ ##ίνο
[CLS] το Κ ##α ##θε ##δ ##ρικό ##ς Ν ##α ##ός του Ζ ##ά ##γκ ##ρ ##ε ##μ ##π βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	χωριό	Ζ ##ά ##γκ ##ρ ##ε ##μ ##π
[CLS] το Κ ##α ##θε ##δ ##ρικό ##ς Ν ##α ##ός του Ζ ##ά ##γκ ##ρ ##ε ##μ ##π βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	χωριό	Γ ##ερ ##ε ##β ##άν
[CLS] το Κ ##α ##θε ##δ ##ρικό ##ς Ν ##α ##ός του Ζ ##ά ##γκ ##ρ ##ε ##μ ##π βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	χωριό	Ελλάδα
[CLS] το Κ ##α ##θε ##δ ##ρικό ##ς Ν ##α ##ός του Ζ ##ά ##γκ ##ρ ##ε ##μ ##π βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD]	Β μέρος	Μ ##όν ##α ##χο
[CLS] το Σ ##ύ ##μ ##βαση της Β ##έρ ##νης για την π ##ρο ##στα ##σία των λ ##ο ##γο ##τε ##χ ##νικών και κ ##α ##λ ##λι ##τε ##χ ##νικών έ ##ρ ##γων βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	Β ##έρ ##σείο	Β ##έρ ##νη
[CLS] το Σ ##ύ ##μ ##βαση της Β ##έρ ##νης για την π ##ρο ##στα ##σία των λ ##ο ##γο ##τε ##χ ##νικών και κ ##α ##λ ##λι ##τε ##χ ##νικών έ ##ρ ##γων βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Παρίσι	Δ ##ου ##β ##λ ##ίνο
[CLS] το Σ ##ύ ##μ ##βαση της Β ##έρ ##νης για την π ##ρο ##στα ##σία των λ ##ο ##γο ##τε ##χ ##νικών και κ ##α ##λ ##λι ##τε ##χ ##νικών έ ##ρ ##γων βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	Το ##υ ##ρκ	Ά ##γκ ##υ ##ρα
[CLS] το Σ ##ύ ##μ ##βαση της Β ##έρ ##νης για την π ##ρο ##στα ##σία των λ ##ο ##γο ##τε ##χ ##νικών και κ ##α ##λ ##λι ##τε ##χ ##νικών έ ##ρ ##γων βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD]	κέντρο	Αθήνα
[CLS] το Κ ##Κ Ο ##λ ##ί ##μ ##π ##ια βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	κέντρο	Λ ##ιου ##μ ##π ##λιά ##να
[CLS] το Κ ##Κ Ο ##λ ##ί ##μ ##π ##ια βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Β ##λ ##μ ##πα	Β ##ερ ##ο ##λ ##ίνο
[CLS] το Κ ##Κ Ο ##λ ##ί ##μ ##π ##ια βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	νησί	Β ##ασίλειο Π ##γ ##γ ##λία
[CLS] το Κ ##Κ Ο ##λ ##ί ##μ ##π ##ια βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	χωριό	Σ ##καν ##δ ##ιν ##α ##βία
[CLS] το Από ##βαση στη Ν ##ο ##ρ ##μαν ##δία βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Ν ##ο ##ρ ##μαν ##δία	Ν ##ο ##ρ ##μαν ##δία
[CLS] το Από ##βαση στη Ν ##ο ##ρ ##μαν ##δία βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Ρ ##ό ##τερ ##ντα ##μ	Ρ ##ό ##τερ ##ντα ##μ
[CLS] το Από ##βαση στη Ν ##ο ##ρ ##μαν ##δία βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	χωριό	Β ##εν ##ε ##τία
[CLS] το Από ##βαση στη Ν ##ο ##ρ ##μαν ##δία βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Μ ##α ##δ ##ρίτη πόλης	Μ ##α ##δ ##ρίτη
[CLS] το Κ ##Α ##Α Γ ##άν ##δη βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	χωριό	Γ ##άν ##δη
[CLS] το Κ ##Α ##Α Γ ##άν ##δη βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Παρίσι	Ρ ##ό ##τερ ##ντα ##μ
[CLS] το Κ ##Α ##Α Γ ##άν ##δη βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Α ##μ ##β ##έρ ##σα	Α ##μ ##β ##έρ ##σα
[CLS] το Κ ##Α ##Α Γ ##άν ##δη βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	δ ##ο	Σ ##αρά ##γε ##βο
[CLS] το Μ ##αν ##δα ##ίοι βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Δ	Ι ##ρά ##κ
[CLS] το Μ ##αν ##δα ##ίοι βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	νησί	Κ ##ων ##στα ##ντι ##νού ##πολη
[CLS] το Μ ##αν ##δα ##ίοι βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	δ ##ό ##μ	Π ##ο ##λων ##ία
[CLS] το Μ ##αν ##δα ##ίοι βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	κέντρο	Ά ##μ ##στ ##ερ ##ντα ##μ
[CLS] το Δ ##ι ##ε ##θ ##νές Φ ##ε ##στ ##ι ##β ##άλ Κ ##ιν ##η ##μα ##το ##γ ##ρά ##φου του Κ ##α ##ΐ ##ρου βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	χωριό	Κ ##ά ##ι ##ρο
[CLS] το Δ ##ι ##ε ##θ ##νές Φ ##ε ##στ ##ι ##β ##άλ Κ ##ιν ##η ##μα ##το ##γ ##ρά ##φου του Κ ##α ##ΐ ##ρου βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Παρίσι	Τ ##ό ##κι ##ο
[CLS] το Δ ##ι ##ε ##θ ##νές Φ ##ε ##στ ##ι ##β ##άλ Κ ##ιν ##η ##μα ##το ##γ ##ρά ##φου του Κ ##α ##ΐ ##ρου βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	χωριό	Α ##σία
[CLS] το Δ ##ι ##ε ##θ ##νές Φ ##ε ##στ ##ι ##β ##άλ Κ ##ιν ##η ##μα ##το ##γ ##ρά ##φου του Κ ##α ##ΐ ##ρου βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD]	δ ##ο	Σ ##ό ##φ ##ια
[CLS] το Ε ##π ##τα ##π ##ύ ##ρ ##γιο βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Δ	Θ ##ε ##σσα ##λο ##νίκη
[CLS] το Ε ##π ##τα ##π ##ύ ##ρ ##γιο βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	νησί	Ά ##γκ ##υ ##ρα
[CLS] το Ε ##π ##τα ##π ##ύ ##ρ ##γιο βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Παρίσι	Γαλλία
[CLS] το Ε ##π ##τα ##π ##ύ ##ρ ##γιο βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	χωριό	Κ ##ων ##στα ##ντι ##νού ##πολη
[CLS] το Π ##ό ##λε ##μος της Κ ##ρο ##α ##τίας βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	νησί	Κ ##ρο ##α ##τία
[CLS] το Π ##ό ##λε ##μος της Κ ##ρο ##α ##τίας βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Δ	Α ##φ ##τί
[CLS] το Π ##ό ##λε ##μος της Κ ##ρο ##α ##τίας βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	χωριό	Γ ##ερ ##ε ##β ##άν
[CLS] το Π ##ό ##λε ##μος της Κ ##ρο ##α ##τίας βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	ίδιο του	Γαλλία
[CLS] το Θ ##ερ ##ιν ##οί Ο ##λ ##υ ##μ ##π ##ια ##κοί Α ##γών ##ες 1992 βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	χωριό	Β ##α ##ρκ ##ελ ##ών ##η
[CLS] το Θ ##ερ ##ιν ##οί Ο ##λ ##υ ##μ ##π ##ια ##κοί Α ##γών ##ες 1992 βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	χωριό	Θ ##ε ##σσα ##λο ##νίκη
[CLS] το Θ ##ερ ##ιν ##οί Ο ##λ ##υ ##μ ##π ##ια ##κοί Α ##γών ##ες 1992 βρίσκεται στο [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	κέντρο	Μ ##ο ##λ ##δα ##βία
[CLS] το Θ ##ερ ##ιν ##οί Ο ##λ ##υ ##μ ##π ##ια ##κοί Α ##γών ##ες 1992 βρίσκεται στο [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD]	Β ##ρ ##ε ##ίνο	Λ ##ον ##δ ##ίνο
[CLS] το Μ ##ά ##χη της Γ ##α ##λι ##κία ##ς βρίσκεται στο [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	Γ ##α ##λι ##κία	Λ ##β ##ι ##β
[CLS] το Μ ##ά ##χη της Γ ##α ##λι ##κία ##ς βρίσκεται στο [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Β του	Κ ##α ##ζ ##άν
