Q2	àgbáyé
Q407199	Àwọn Agbègbè ilẹ̀ Palẹstínì
Q421647	Uraninite
Q441235	Louis Jules Trochu
Q443085	Madeleine Robinson
Q446695	Kristin Clemet
Q455430	Alexander Cunningham
Q455655	Henri Queuille
Q456077	Kumiko Ogura
Q460201	Elsa Zylberstein
Q460318	Albert Sarraut
Q463999	The Cosby Show
Q464658	Norbert Bisky
Q467397	Bodin Issara
Q468402	Àwo Àlẹ̀mọ́lẹ̀
Q471307	Karl-August Fagerholm
Q482980	olùkọ̀wé
Q482994	kásètì orin
Q483047	Àwọn Ùsbẹ̀k
Q483132	Windows 98
Q483501	oníṣọ̀nà
Q483659	Àsìá ilẹ̀ Singapore
Q484141	Muhammad Iqbal
Q484591	ẹ̀kọ́ ìtàn aládánidá
Q484692	orin-ìjọ
Q500282	Ààrẹ ilẹ̀ Nàìjíríà
Q504815	Noriyasu Hirata
Q506240	eré amóhùn máwòrán
Q515741	Francisco Serrano, 1st Duke of la Torre
Q521729	Cheikh Anta Diop
Q529591	Anthony Caro
Q534798	Alex Bodry
Q537224	Charles Helou
Q539051	Àwọn Gríìkì
Q544387	Ray Charles
Q560099	Sedat Alp
Q561583	Ernest Monis
Q562489	Antonio Maura
Q576636	Huamantla
Q584601	Baskin-Robbins
Q597155	Marco Minghetti
Q605817	Jay-Jay Okocha
Q619468	Joseph Conombo
Q621277	Apple Lossless
Q622460	Àwọn álótrópù kárbọ̀nù
Q635084	Àfin Beaumont
Q639669	olórin
Q642850	Sebastian Rode
Q650343	Lars Paaske
Q657461	Cartagena, Colombia
Q664609	Kàríbẹ́ánì
Q665957	Jacques Laffitte
Q708913	George Clymer
Q713200	eléré
Q713750	Ìwọ̀orùn Jẹ́mánì
Q714039	Matsukata Masayoshi
Q715269	Òkun Àgbáyé
Q718225	Sourou-Migan Apithy
Q721849	Irin olọ́ksíjìn
Q727178	Alfred Francis Russell
Q728806	Georges Leygues
Q731338	Àsìá ilẹ̀ Tibet
Q731350	Peso convertible
Q739031	Giuseppe Saracco
Q739951	àárín
Q752783	Ìfòlókè òfurufú ènìyàn
Q758853	Audio Interchange File Format
Q771405	Gúúsù Ásíà
Q798309	Àjẹsára Bacillus Calmette–Guérin
Q815913	Èkó
Q842490	Àgbájọ fún Ìdènà àwọn Ohun Ìjagun Ògùn Olóró
Q842931	Ìlàoòrùn Pakístàn
Q845168	ilà oòrùn
Q845263	LCBO
Q849751	York University
Q861003	Eduardo Schaerer
Q876594	De Vlaamse Leeuw
Q887907	Rafael Reyes
Q888465	Said Mohamed Djohar
Q907112	Transnistria
Q945750	Kurt Warner
Q959708	Jules Ferry
Q966694	Mark Strudal
Q970153	osere omode
Q974144	ọ̀gá akẹ́ẹ̀kọ́
Q983537	Hank Johnson
Q993904	Orizaba
Q1024647	Ikeja
Q1033016	Halle Berry
Q1051557	135 film
Q1059948	Khalifa bin Zayed Al Nahyan
Q1086650	Christopher Dresser
Q1135703	Chevrolet Corvette C2
Q1162163	olùdarí
Q1196805	Resource Interchange File Format
Q1198887	adarí orin
Q1215200	White
Q1231865	ọ̀gá akẹ́ẹ̀kọ́
Q1235705	Tiv
Q1243769	QuickTime
Q1249148	Richard
Q1258656	Petros Voulgaris
Q1315297	QuickTime VR
Q1322289	Université Lille Nord de France
Q1393679	Hendrawan
Q1414443	onísé eré amóhùn máwòrán
Q1452355	Fred Hampton
Q1519099	Àjẹsára àrùn rọpárọsẹ̀
Q1549591	ìlú ńlá
Q1555938	Antárktìkì
Q1569495	ọ̀gá akẹ́ẹ̀kọ́
Q1747689	Rómù Ayéijọ́un
Q1751281	Francesco Robortello
Q1778821	irú oúnjẹ
Q1782980	Yunifásítì ìlú Èkó
Q1870209	Lorenzo Baldisseri
Q1922067	Ààrẹ ilẹ̀ Túrkì
Q2017699	Apáàríwá Amẹ́ríkà
Q2021551	Domingo Nieto
Q2188189	iṣẹ́ orin
Q2207370	ìjókòó
Q2251335	ọ̀gá akẹ́ẹ̀kọ́
Q2309668	Cybele asteroid
Q2309694	Jacques-Charles Dupont de l'Eure
Q2342822	Ìwọ̀orùn Pakístàn
Q2500638	aṣèdá
Q2529757	olóhùn
Q2562334	Manuel Dorrego
Q2625960	Igbákejì Ààrẹ ilẹ̀ Nàìjíríà
Q2643890	akọrin
Q2824907	Adolphe Schneider
Q2993602	Mohammed Namadi Sambo
Q2993611	Ilé Alàgbà Nàìjíríà
Q3112766	Isaac Vossius
Q3282637	olóòtú eré
Q3309380	Narciso Campero
Q3362899	Niyi Osundare
Q3400803	Jon Ronson
Q3455803	olùdarí
Q3510262	Uromi
Q3511609	Haruna Ishola
Q3511673	Oladipo Diya
Q3624078	Orílẹ̀-èdè àdádúró
Q3635112	North Kensington
Q3796889	DV
Q3876879	Nikki Giovanni
Q4007169	Àjẹsára àrùn dìgbòlugi
Q4224666	Ìwé àwọn Ọba
Q4610556	àwòṣe
Q4830453	oníṣẹ́ òwò
Q4912090	Billy Aaron Brown
Q5176750	Ààrẹ ilẹ̀ Brasil
Q5591276	Grace Lynn Kung
Q5715017	Henning Kraggerud
Q6308875	Juliet Ibrahim
Q6430706	alariwisi
Q6452410	orin Krìstìánì
Q6500954	Zaire
Q6695060	Lubaina Himid
Q6881511	òwò
Q7160370	Peer Guldbrandsen
Q7812631	Todd Sickafoose
Q10798782	òṣeré  amóhùn máwòrán
Q10800557	òṣeré  fíímù
Q13140687	Ike Ekweremadu
Q13235160	olóòtú
Q14516546	Daniel
Q14650387	Carpenter
Q15299648	Nokia X
Q16879447	Femi Jacobs
Q17150957	Suman Pokhrel
Q17172850	ohùn
Q18336315	Ian
Q18342738	ọ̀rọ̀ sísọ
Q18581305	olukopa itolese omidan
