fact,label,sentence,langs,number of langs
"('Q6779182', 'P1412', 'Q1860')","('Mary Carruthers', '[X] used to communicate in [Y] .', 'English')","('[CLS] Mary Carruthers hablaba [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'inglés')",['mbert_base__es'],1
"('Q34', 'P463', 'Q7825')","('Sweden', '[X] is a member of [Y] .', 'World Trade Organization')","('[CLS] Swídìn [UNK] [UNK] [UNK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', '[UNK]')",['mbert_base__yo'],1
"('Q49575', 'P136', 'Q8341')","('Dizzy Gillespie', '[X] plays [Y] music .', 'jazz')","('[CLS] Dizzy Gillespie toca musica de [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]', 'jazz')",['mbert_base__es'],1
"('Q12067635', 'P1412', 'Q150')","('Antoine Roux', '[X] used to communicate in [Y] .', 'French')","('[CLS] Antoine Roux hablaba [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'francés')",['mbert_base__es'],1
"('Q3383244', 'P1412', 'Q150')","('Pierre-Jules Mêne', '[X] used to communicate in [Y] .', 'French')","('[CLS] Pierre Jules Mène hablaba [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]', 'francés')",['mbert_base__es'],1
"('Q3208624', 'P138', 'Q7304')","('Médiathèque Musicale Mahler', '[X] is named after [Y] .', 'Gustav Mahler')","('[CLS] Médiathèque Musicale Mahler is named after [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]', 'Mahler')",['init_confidence_iter_confidence_reprob'],1
"('Q524822', 'P740', 'Q60')","('Cobra Starship', '[X] was founded in [Y] .', 'New York City')","('[CLS] Cobra Starship a été fondée à [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'New York')",['mbert_base__fr'],1
"('Q705238', 'P1412', 'Q150')","('Maurice Raynaud', '[X] used to communicate in [Y] .', 'French')","('[CLS] Maurice Raynaud hablaba [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'francés')",['mbert_base__es'],1
"('Q212575', 'P1412', 'Q7737')","('Aleksey Konstantinovich Tolstoy', '[X] used to communicate in [Y] .', 'Russian')","('[CLS] 阿 列 克 赛 · 康 斯 坦 丁 诺 维 奇 · 托 尔 斯 泰 的 语 言 是 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] 。 [SEP] [PAD] [PAD] [PAD]', '俄 语')",['mbert_base__zh'],1
"('Q980', 'P36', 'Q1726')","('Bavaria', 'The capital of [X] is [Y] .', 'Munich')","('[CLS] La capital de Baviera es [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]', 'Múnich')",['mbert_base__es'],1
"('Q367575', 'P103', 'Q7411')","('Adriaan Fokker', 'The native language of [X] is [Y] .', 'Dutch')","('[CLS] The native language of Adriaan Fokker is [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'Dutch')",['init_confidence_iter_confidence_reprob'],1
"('Q1415', 'P17', 'Q30')","('Indiana', '[X] is located in [Y] .', 'United States of America')","('[CLS] 인디애나주는 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] 에 있다 . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', '미국')",['mbert_base__ko'],1
"('Q166419', 'P159', 'Q65')","('Fox Broadcasting Company', 'The headquarter of [X] is in [Y] .', 'Los Angeles')","('[CLS] Het hoofdkantoor van Fox Broadcasting Company staat in [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'Los Angeles')",['mbert_base__nl'],1
"('Q953', 'P530', 'Q408')","('Zambia', '[X] maintains diplomatic relations with [Y] .', 'Australia')","('[CLS] Sámbíà ní [UNK] tí kò fàyègba ìjà [UNK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', '[UNK]')",['mbert_base__yo'],1
"('Q4839277', 'P136', 'Q83440')","('Back in My Younger Days', '[X] plays [Y] music .', 'country music')","('[CLS] Back in My Younger Days plays [MASK] [MASK] [MASK] [MASK] [MASK] music . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]', 'country')",['init_confidence_iter_confidence_reprob'],1
"('Q43739', 'P39', 'Q19546')","('Pius X', '[X] has the position of [Y] .', 'pope')","('[CLS] ο Πάπας Πίος Ι΄ έχει τη θέση του [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'Πάπα')",['mbert_base__el'],1
"('Q212', 'P530', 'Q221')","('Ukraine', '[X] maintains diplomatic relations with [Y] .', 'North Macedonia')","('[CLS] Ukréìn ní [UNK] tí kò fàyègba ìjà [UNK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', '[UNK]')",['mbert_base__yo'],1
"('Q2013855', 'P495', 'Q30')","('Lured', '[X] was created in [Y] .', 'United States of America')","('[CLS] Lured was created in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'U . S')",['init_confidence_iter_confidence_reprob'],1
"('Q36044', 'P740', 'Q649')","('Moskvitch', '[X] was founded in [Y] .', 'Moscow')","('[CLS] Moskvitch a été fondée à [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'Moscou')",['mbert_base__fr'],1
"('Q794', 'P47', 'Q874')","('Iran', '[X] shares border with [Y] .', 'Turkmenistan')","('[CLS] इराण आणि [MASK] [MASK] [MASK] ची सीमा एक आहे . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'पाकिस्तान')",['mbert_base__mr'],1
"('Q1716', 'P1412', 'Q150')","('Renaud', '[X] used to communicate in [Y] .', 'French')","('[CLS] Renaud Séchan hablaba [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]', 'francés')",['mbert_base__es'],1
"('Q222788', 'P413', 'Q193592')","('Kim Joo-sung', '[X] plays in [Y] position .', 'midfielder')","('[CLS] Kim Joo - Sung juega en la posición de [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]', 'centrocampista')",['mbert_base__es'],1
"('Q214', 'P530', 'Q38')","('Slovakia', '[X] maintains diplomatic relations with [Y] .', 'Italy')","('[CLS] Slofákíà ní [UNK] tí kò fàyègba ìjà [UNK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', '[UNK]')",['mbert_base__yo'],1
"('Q587407', 'P364', 'Q150')","('High Tension', 'The original language of [X] is [Y] .', 'French')","('[CLS] De oorspronkelijke taal van Haute tension is [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'Frans')",['mbert_base__nl'],1
"('Q42824', 'P131', 'Q155')","('Mato Grosso', '[X] is located in [Y] .', 'Brazil')","('[CLS] Mato Grosso is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]', 'Brazil')",['init_confidence_iter_confidence_reprob'],1
"('Q1092', 'P495', 'Q30')","('Star Trek', '[X] was created in [Y] .', 'United States of America')","('[CLS] Star Trek is gemaakt in [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]', 'Verenigde Staten')",['mbert_base__nl'],1
"('Q658909', 'P407', 'Q7737')","('Lenta.ru', '[X] was written in [Y] .', 'Russian')","('[CLS] Lenta . ru 的 语 言 是 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] 。 [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', '俄 语')",['mbert_base__zh'],1
"('Q17130655', 'P279', 'Q189389')","('infected aneurysm', '[X] is a subclass of [Y] .', 'aneurysm')","('[CLS] infected aneurysm is a subclass of [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'aneurysm')",['init_confidence_iter_confidence_reprob'],1
"('Q806092', 'P495', 'Q30')","('Bananas', '[X] was created in [Y] .', 'United States of America')","('[CLS] Bananas was created in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'U . S')",['init_confidence_iter_confidence_reprob'],1
"('Q2298789', 'P279', 'Q44455')","('evolutionary game theory', '[X] is a subclass of [Y] .', 'game theory')","('[CLS] evolutionary game theory is a subclass of [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'game theory')",['init_confidence_iter_confidence_reprob'],1
"('Q5352166', 'P1001', 'Q129286')","('Emperor of India', '[X] is a legal term in [Y] .', 'British Raj')","('[CLS] Emperor of India is a legal term in [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'India')",['init_confidence_iter_confidence_reprob'],1
"('Q851', 'P530', 'Q668')","('Saudi Arabia', '[X] maintains diplomatic relations with [Y] .', 'India')","('[CLS] Sáúdí Arábíà ní [UNK] tí kò fàyègba ìjà [UNK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', '[UNK]')",['mbert_base__yo'],1
"('Q5340732', 'P1412', 'Q5146')","('Eduardo Prado Coelho', '[X] used to communicate in [Y] .', 'Portuguese')","('[CLS] Eduardo Prado Coelho hablaba [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'portugués')",['mbert_base__es'],1
"('Q3838', 'P1376', 'Q974')","('Kinshasa', '[X] is the capital of [Y] .', 'Democratic Republic of the Congo')","('[CLS] Kinshasa est la capitale de la [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]', 'République démocratique du Congo')",['mbert_base__fr'],1
"('Q1932904', 'P138', 'Q990007')","('Venustiano Carranza International Airport', '[X] is named after [Y] .', 'Monclova')","(""[CLS] Aéroport international de Monclova est nommé d ' après [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"", 'Monclova')",['mbert_base__fr'],1
"('Q949193', 'P17', 'Q668')","('Padma Shri', '[X] is located in [Y] .', 'India')","('[CLS] Padma Shri bevindt zich in [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]', 'India')",['mbert_base__nl'],1
"('Q7750341', 'P495', 'Q30')","('The Mark IV', '[X] was created in [Y] .', 'United States of America')","('[CLS] The Mark IV was created in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]', 'U . S')",['init_confidence_iter_confidence_reprob'],1
"('Q708482', 'P20', 'Q90')","('Othon Friesz', '[X] died in [Y] .', 'Paris')","('[CLS] Othon Friesz est décédé à [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]', 'Paris')",['mbert_base__fr'],1
"('Q1189477', 'P176', 'Q568501')","('EMD SD40-2', '[X] is produced by [Y] .', 'Electro-Motive Diesel')","('[CLS] EMD SD40 - 2 is produced by [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]', 'EMD')",['init_confidence_iter_confidence_reprob'],1
"('Q6164806', 'P106', 'Q33999')","('Vonny Cornellya', '[X] is a [Y] by profession .', 'actor')","('[CLS] Vonny Cornelia es un [MASK] [MASK] [MASK] [MASK] [MASK] de profesiòn . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]', 'actor')",['mbert_base__es'],1
"('Q15883', 'P17', 'Q215')","('Kamnik', '[X] is located in [Y] .', 'Slovenia')","('[CLS] Kamnik nằm ở [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'Slovenia')",['mbert_base__vi'],1
"('Q4040', 'P37', 'Q1321')","('Aragon', 'The official language of [X] is [Y] .', 'Spanish')","('[CLS] De officiële taal van Aragón is [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'Spaans')",['mbert_base__nl'],1
"('Q167533', 'P178', 'Q552581')","('SAP ERP', '[X] is developed by [Y] .', 'SAP SE')","('[CLS] SAP ERP is developed by [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'SAP')",['init_confidence_iter_confidence_reprob'],1
"('Q227', 'P530', 'Q183')","('Azerbaijan', '[X] maintains diplomatic relations with [Y] .', 'Germany')","('[CLS] Azerbaijan ní [UNK] tí kò fàyègba ìjà [UNK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]', '[UNK]')",['mbert_base__yo'],1
"('Q1085', 'P190', 'Q2807')","('Prague', '[X] and [Y] are twin cities .', 'Madrid')","('[CLS] Prag ve [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] ikiz şehirlerdir . [SEP] [PAD] [PAD] [PAD] [PAD]', 'Bratislava')",['mbert_base__tr'],1
"('Q36014', 'P1412', 'Q9199')","('Ho Chi Minh', '[X] used to communicate in [Y] .', 'Vietnamese')","('[CLS] Hồ Chí Minh hablaba [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]', 'inglés')",['mbert_base__es'],1
"('Q16975482', 'P1001', 'Q30')","('Excise tax in the United States', '[X] is a legal term in [Y] .', 'United States of America')","('[CLS] Excise tax in the United States is a legal term in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]', 'the United States')",['init_confidence_iter_confidence_reprob'],1
"('Q549935', 'P413', 'Q193592')","('Élton José Xavier Gomes', '[X] plays in [Y] position .', 'midfielder')","('[CLS] Élton José Xavier Gomes juega en la posición de [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]', 'centrocampista')",['mbert_base__es'],1
"('Q360512', 'P1412', 'Q1321')","('Baltasar Gracián', '[X] used to communicate in [Y] .', 'Spanish')","('[CLS] Baltasar Gracián hablaba [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]', 'español')",['mbert_base__es'],1
"('Q313980', 'P1412', 'Q652')","('Saverio Mercadante', '[X] used to communicate in [Y] .', 'Italian')","('[CLS] Saverio Mercadante hablaba [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'italiano')",['mbert_base__es'],1
"('Q5721124', 'P1412', 'Q1860')","('Henry Fanshawe Tozer', '[X] used to communicate in [Y] .', 'English')","('[CLS] Henry Fanshawe Tozer hablaba [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]', 'inglés')",['mbert_base__es'],1
"('Q51330', 'P1412', 'Q1860')","('John Howard', '[X] used to communicate in [Y] .', 'English')","('[CLS] John Howard hablaba [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'inglés')",['mbert_base__es'],1
"('Q281622', 'P740', 'Q79880')","('Public transport in Debrecen', '[X] was founded in [Y] .', 'Debrecen')","('[CLS] Debreceni Közlekedési Zrt . a été fondée à [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]', 'Debrecen')",['mbert_base__fr'],1
"('Q19573663', 'P364', 'Q5885')","('Periya Idathu Mappillai', 'The original language of [X] is [Y] .', 'Tamil')","('[CLS] The original language of Periya Idathu Mappillai is [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'Tamil')",['init_confidence_iter_confidence_reprob'],1
"('Q6314820', 'P413', 'Q193592')","('Juraj Kuráň', '[X] plays in [Y] position .', 'midfielder')","('[CLS] Juraj Kuráň juega en la posición de [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]', 'centrocampista')",['mbert_base__es'],1
"('Q81949', 'P17', 'Q29')","('Barcelona Province', '[X] is located in [Y] .', 'Spain')","('[CLS] Barcelona Province is located in [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'Spain')",['init_confidence_iter_confidence_reprob'],1
"('Q3273220', 'P138', 'Q1527')","('USS Minnesota', '[X] is named after [Y] .', 'Minnesota')","(""[CLS] USS Minnesota est nommé d ' après le [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"", 'Minnesota')",['mbert_base__fr'],1
"('Q62364', 'P131', 'Q131491')","('Royal Pavilion', '[X] is located in [Y] .', 'Brighton')","('[CLS] Brighton Pavilion est situé à [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'Brighton')",['mbert_base__fr'],1
"('Q2840126', 'P1412', 'Q150')","('Charles-Emmanuel Sédillot', '[X] used to communicate in [Y] .', 'French')","('[CLS] Charles - Emmanuel Sédillot hablaba [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD]', 'francés')",['mbert_base__es'],1
"('Q9166', 'P37', 'Q233')","('Maltese', 'The official language of [X] is [Y] .', 'Malta')","('[CLS] Ngôn ngữ chính thức của tiếng Malta là [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'Malta')",['mbert_base__vi'],1
"('Q679287', 'P740', 'Q30')","('Crimson Glory', '[X] was founded in [Y] .', 'United States of America')","('[CLS] Crimson Glory was founded in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'U . S')",['init_confidence_iter_confidence_reprob'],1
"('Q673117', 'P1001', 'Q1415')","('flag of Indiana', '[X] is a legal term in [Y] .', 'Indiana')","('[CLS] Vlag van Indiana is een wettelijke term in [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'Indiana')",['mbert_base__nl'],1
"('Q1125787', 'P17', 'Q36')","('Sochaczew County', '[X] is located in [Y] .', 'Poland')","('[CLS] Powiat Sochaczewski bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'Polen')",['mbert_base__nl'],1
"('Q7873803', 'P138', 'Q290356')","('USS San Pedro', '[X] is named after [Y] .', 'San Pedro')","('[CLS] USS San Pedro is named after [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'San Pedro')",['init_confidence_iter_confidence_reprob'],1
"('Q1146127', 'P17', 'Q17')","('Nippon Professional Baseball', '[X] is located in [Y] .', 'Japan')","('[CLS] 日 本 棒 球 機 構 的 主 权 国 家 是 [MASK] [MASK] 。 [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', '日 本')",['mbert_base__zh'],1
"('Q164819', 'P37', 'Q7737')","('Gagauzia', 'The official language of [X] is [Y] .', 'Russian')","('[CLS] De officiële taal van Gagaoezië is [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]', 'Russisch')",['mbert_base__nl'],1
"('Q225', 'P530', 'Q236')","('Bosnia and Herzegovina', '[X] maintains diplomatic relations with [Y] .', 'Montenegro')","('[CLS] η Βοσνία και Ερζεγοβίνη διατηρεί διπλωματικές σχέσεις με το [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP]', 'Ρωσία')",['mbert_base__el'],1
"('Q1353', 'P131', 'Q668')","('Delhi', '[X] is located in [Y] .', 'India')","('[CLS] Delhi bevindt zich in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'India')",['mbert_base__nl'],1
"('Q27', 'P37', 'Q9142')","('Ireland', 'The official language of [X] is [Y] .', 'Irish')","('[CLS] The official language of Ireland is [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]', 'Irish')",['init_confidence_iter_confidence_reprob'],1
"('Q230420', 'P106', 'Q33999')","('Amber Riley', '[X] is a [Y] by profession .', 'actor')","('[CLS] Amber Riley is een [MASK] [MASK] [MASK] [MASK] van beroep . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'actrice')",['mbert_base__nl'],1
"('Q2144303', 'P1412', 'Q1321')","('Antonio Jiménez Sistachs', '[X] used to communicate in [Y] .', 'Spanish')","('[CLS] Toni Jiménez communiquait en [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'espagnol')",['mbert_base__fr'],1
"('Q3439408', 'P1412', 'Q150')","('Roger Richebé', '[X] used to communicate in [Y] .', 'French')","('[CLS] Roger Richebé hablaba [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'francés')",['mbert_base__es'],1
"('Q191827', 'P1001', 'Q27')","('Taoiseach', '[X] is a legal term in [Y] .', 'Ireland')","('[CLS] 爱 尔 兰 总 理 的 管 辖 范 围 是 [MASK] [MASK] [MASK] 。 [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', '爱 尔 兰')",['mbert_base__zh'],1
"('Q7897909', 'P740', 'Q30')","('Up4Sale', '[X] was founded in [Y] .', 'United States of America')","('[CLS] Up4Sale was founded in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]', 'U . S')",['init_confidence_iter_confidence_reprob'],1
"('Q212846', 'P407', 'Q1860')","('L.A. Woman', '[X] was written in [Y] .', 'English')","('[CLS] L . A . Woman is geschreven in [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'Engels')",['mbert_base__nl'],1
"('Q52698', 'P37', 'Q150')","('Chardonne', 'The official language of [X] is [Y] .', 'French')","('[CLS] The official language of Chardonne is [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]', 'French')",['init_confidence_iter_confidence_reprob'],1
"('Q4917767', 'P138', 'Q649838')","('Bishop of Aston', '[X] is named after [Y] .', 'Aston')","(""[CLS] Évêque de Aston est nommée d ' après [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]"", 'Aston')",['mbert_base__fr'],1
"('Q1037873', 'P276', 'Q11739')","('2009 Lahore police academy attacks', '[X] is located in [Y] .', 'Lahore')","('[CLS] 2009 Lahore police academy attacks is located in [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]', 'Lahore')",['init_confidence_iter_confidence_reprob'],1
"('Q36', 'P47', 'Q184')","('Poland', '[X] shares border with [Y] .', 'Belarus')","('[CLS] le Pologne partage la frontière avec la [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'République tchèque')",['mbert_base__fr'],1
"('Q17461659', 'P413', 'Q193592')","('Sebastian Ohlsson', '[X] plays in [Y] position .', 'midfielder')","('[CLS] Sebastian Ohlsson chơi ở vị trí [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'tiền vệ')",['mbert_base__vi'],1
"('Q381092', 'P27', 'Q142')","('Augustin Thierry', '[X] is [Y] citizen .', 'France')","('[CLS] 오귀스탱 티에리는 [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] 의 국민이다 . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', '프랑스')",['mbert_base__ko'],1
"('Q141433', 'P407', 'Q1860')","('London Bridge Is Falling Down', '[X] was written in [Y] .', 'English')","('[CLS] London Bridge Is Falling Down is geschreven in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]', 'Engels')",['mbert_base__nl'],1
"('Q711', 'P530', 'Q43')","('Mongolia', '[X] maintains diplomatic relations with [Y] .', 'Turkey')","('[CLS] Mông Cổ có quan hệ ngoại giao với [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]', 'Nga')",['mbert_base__vi'],1
"('Q3220844', 'P364', 'Q150')","('Le carnaval de Venise', 'The original language of [X] is [Y] .', 'French')","('[CLS] The original language of Le carnaval de Venise is [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'French')",['init_confidence_iter_confidence_reprob'],1
"('Q484918', 'P740', 'Q30')","('Simon & Garfunkel', '[X] was founded in [Y] .', 'United States of America')","('[CLS] Simon & Garfunkel was founded in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]', 'U . S')",['init_confidence_iter_confidence_reprob'],1
"('Q3385676', 'P19', 'Q90')","('Pierre Kast', '[X] was born in [Y] .', 'Paris')","('[CLS] Pierre Kast was born in [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'Paris , France')",['init_confidence_iter_confidence_reprob'],1
"('Q913639', 'P407', 'Q1860')","('Stand Up', '[X] was written in [Y] .', 'English')","('[CLS] το Stand Up γράφτηκε στα [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]', 'αγγλικά')",['mbert_base__el'],1
"('Q4781035', 'P138', 'Q4068175')","('Apperley Bridge railway station', '[X] is named after [Y] .', 'Apperley Bridge')","('[CLS] Apperley Bridge railway station is named after [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]', 'Apperley Bridge')",['init_confidence_iter_confidence_reprob'],1
